team,age,name,line,ppu,position_yahoo,position,rollup,vorp,yahoo_rank,rp,rp_vorp,rp_arbitrage,round,target
Bos,35.0,Patrice Bergeron,1.0,1.0,C,C,46.5,-3.7,40.5,12.0,12.0,0.0,4.0,False
Car,,Teuvo Teravainen,1.0,1.0,"LW,RW",LW,43.6,-5.7,41.5,12.0,14.5,-2.5,4.0,False
Phi,,Carter Hart,,,G,G,66.4,6.2,43.0,7.0,8.0,-1.0,4.0,False
Car,27.0,Dougie Hamilton,1.0,1.0,D,D,46.1,11.4,45.5,4.0,4.0,0.0,4.0,True
Cgy,27.0,Johnny Gaudreau,2.0,1.0,"LW,RW",RW,46.3,0.4,46.5,9.0,9.0,0.0,4.0,True
Ari,30.0,Darcy Kuemper,,,G,G,55.6,-4.5,47.5,8.0,14.0,-6.0,4.0,False
VGK,28.0,Mark Stone,1.0,1.0,RW,RW,47.2,1.3,47.5,10.0,8.0,2.0,4.0,True
StL,29.0,Ryan O'Reilly,1.0,1.0,C,C,40.1,-10.1,49.0,13.5,19.0,-5.5,5.0,False
Fla,25.0,Aleksander Barkov,1.0,1.0,C,C,43.4,-6.8,49.0,13.5,14.0,-0.5,5.0,False
Phi,28.0,Sean Couturier,1.0,1.0,C,C,41.3,-8.9,49.5,15.0,17.0,-2.0,5.0,False
Wpg,27.0,Mark Scheifele,1.0,1.0,C,C,41.6,-8.5,54.0,16.0,16.0,0.0,5.0,False
Dal,34.0,Anton Khudobin,,,G,G,75.7,15.6,55.0,9.0,2.0,7.0,5.0,False
Mon,28.0,Brendan Gallagher,1.0,2.0,RW,RW,41.7,-4.2,55.5,11.0,12.0,-1.0,5.0,True
SJ,35.0,Brent Burns,1.0,1.0,D,D,44.3,9.6,55.5,5.0,5.0,0.0,5.0,False
Phi,32.0,Claude Giroux,2.0,1.0,"C,LW",LW,42.4,-6.9,56.0,13.0,17.0,-4.0,5.0,False
Col,,Cale Makar,1.0,1.0,D,D,41.2,6.5,58.5,6.0,9.0,-3.0,5.0,False
Pit,25.0,Tristan Jarry,,,G,G,51.4,-8.7,59.5,10.0,20.0,-10.0,5.0,False
Cgy,26.0,Elias Lindholm,1.0,1.0,"C,RW",RW,42.3,-3.6,60.0,12.0,10.0,2.0,6.0,True
Was,28.0,Evgeny Kuznetsov,1.0,1.0,C,C,38.6,-11.5,62.5,17.0,24.5,-7.5,6.0,False
Col,30.0,Pavel Francouz,,,G,G,53.1,-7.0,63.0,11.0,17.0,-6.0,6.0,False
Wpg,24.0,Kyle Connor,2.0,1.0,LW,LW,41.4,-7.9,65.0,14.0,19.0,-5.0,6.0,False
StL,29.0,Brayden Schenn,1.0,1.0,"C,RW",C,42.5,-7.7,65.5,18.0,15.0,3.0,6.0,False
Buf,29.0,Taylor Hall,1.0,1.0,LW,LW,45.6,-3.7,66.0,15.0,13.0,2.0,6.0,True
Nsh,26.0,Filip Forsberg,1.0,1.0,LW,LW,42.1,-7.2,66.5,16.0,18.0,-2.0,6.0,False
Was,26.0,Tom Wilson,1.0,2.0,RW,RW,40.7,-5.2,67.5,13.0,14.0,-1.0,6.0,False
NYI,30.0,Anders Lee,1.0,1.0,LW,LW,40.1,-9.2,68.0,17.0,20.0,-3.0,6.0,False
VGK,30.0,Jonathan Marchessault,2.0,1.0,"C,LW",C,46.6,-3.5,69.0,19.0,10.0,9.0,6.0,True
Wpg,25.0,Neal Pionk,2.0,1.0,D,D,43.2,8.5,70.5,7.0,6.0,1.0,6.0,True
Phi,23.0,Travis Konecny,1.0,1.0,RW,RW,38.8,-7.1,71.5,14.0,18.0,-4.0,6.0,False
SJ,29.0,Evander Kane,2.0,1.0,LW,LW,45.7,-3.6,72.0,18.0,12.0,6.0,7.0,True
NYR,,Igor Shesterkin,,,G,G,57.4,-2.8,72.0,12.0,13.0,-1.0,7.0,False
StL,,Mike Hoffman,2.0,1.0,"LW,RW",LW,42.7,-6.6,74.5,19.0,16.0,3.0,7.0,False
VGK,30.0,Alex Pietrangelo,1.0,2.0,D,D,40.2,5.5,76.0,8.0,10.0,-2.0,7.0,False
Cls,26.0,Elvis Merzlikins,,,G,G,53.0,-7.2,76.5,13.0,18.0,-5.0,7.0,False
Cls,22.0,Pierre-Luc Dubois,1.0,,C,C,38.6,-11.5,76.5,20.0,24.5,-4.5,7.0,False
Tor,26.0,Morgan Rielly,1.0,1.0,D,D,36.9,2.2,79.5,9.0,12.0,-3.0,7.0,False
Edm,27.0,Ryan Nugent-Hopkins,1.0,1.0,"C,LW",LW,43.6,-5.7,80.5,20.0,14.5,5.5,7.0,False
Pit,33.0,Kris Letang,1.0,1.0,D,D,41.5,6.8,81.5,10.0,8.0,2.0,7.0,False
Det,24.0,Dylan Larkin,1.0,1.0,C,C,38.1,-12.1,82.0,21.0,27.0,-6.0,7.0,False
Bos,,Jaroslav Halak,,,G,G,45.8,-14.4,82.5,14.0,24.0,-10.0,7.0,False
Dal,34.0,Ben Bishop,,,G,G,49.7,-10.4,84.0,15.0,21.0,-6.0,8.0,False
Dal,31.0,Jamie Benn,1.0,1.0,"C,LW",C,40.7,-9.5,84.5,22.0,18.0,4.0,8.0,False
NYI,,Mathew Barzal,1.0,1.0,C,C,39.6,-10.6,86.5,23.0,20.0,3.0,8.0,False
NYR,29.0,Chris Kreider,1.0,1.0,LW,LW,39.7,-9.6,87.0,21.0,21.0,0.0,8.0,False
Dal,34.0,Alexander Radulov,2.0,1.0,"LW,RW",RW,35.9,-10.0,88.5,15.5,26.5,-11.0,8.0,False
Edm,,Kailer Yamamoto,2.0,2.0,RW,RW,34.3,-11.6,88.5,15.5,32.0,-16.5,8.0,False
Was,,Nicklas Backstrom,2.0,1.0,C,C,38.8,-11.4,89.5,24.0,22.5,1.5,8.0,False
SJ,31.0,Logan Couture,1.0,1.0,C,C,35.1,-15.1,90.5,25.0,30.0,-5.0,8.0,False
Tor,24.0,William Nylander,2.0,1.0,"LW,RW",LW,38.0,-11.3,91.0,22.0,23.0,-1.0,8.0,False
Cgy,26.0,Sean Monahan,2.0,1.0,C,C,38.4,-11.8,91.0,26.0,26.0,0.0,8.0,False
SJ,24.0,Timo Meier,1.0,1.0,"LW,RW",RW,40.5,-5.3,91.5,17.0,15.5,1.5,8.0,False
Tor,31.0,Frederik Andersen,,,G,G,60.0,-0.2,93.0,16.0,9.5,6.5,8.0,False
LA,33.0,Anze Kopitar,1.0,1.0,C,C,38.8,-11.4,93.5,27.0,22.5,4.5,8.0,False
NYR,27.0,Ryan Strome,2.0,2.0,"C,RW",C,36.9,-13.2,94.0,28.0,28.0,0.0,8.0,False
StL,32.0,David Perron,1.0,1.0,"LW,RW",RW,41.5,-4.4,94.5,18.0,13.0,5.0,8.0,False
Chi,23.0,Alex DeBrincat,1.0,1.0,"LW,RW",RW,36.9,-9.0,96.5,19.0,22.0,-3.0,9.0,False
Car,,Petr Mrazek,,,G,G,58.5,-1.7,96.5,17.0,11.0,6.0,9.0,False
Col,30.0,Nazem Kadri,2.0,1.0,C,C,39.1,-11.1,100.0,29.0,21.0,8.0,9.0,False
Fla,,Patric Hornqvist,2.0,2.0,RW,RW,41.8,-4.1,101.0,20.0,11.0,9.0,9.0,False
VGK,29.0,Reilly Smith,2.0,2.0,RW,RW,36.4,-9.5,101.5,21.0,24.0,-3.0,9.0,False
StL,29.0,Torey Krug,1.0,1.0,D,D,42.5,7.8,101.5,11.0,7.0,4.0,9.0,True
Dal,,Miro Heiskanen,2.0,2.0,D,D,33.8,-0.9,102.5,12.0,25.0,-13.0,9.0,False
