name,team,position,source,fetched_at,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,shutouts
Travis Dermott,TOR,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.0,14.8,8.9,0.0,97.9,101.0,68.1,,,,
Dominik Simon,CGY,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,5.7,13.1,0.3,1.1,79.1,55.9,17.4,,,,
Sean Walker,LA,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.4,14.4,-10.3,3.1,100.8,68.7,68.7,,,,
Max Jones,ANA,LW,Daily Faceoff,2021-01-04 20:06:43.044721,10.0,8.8,-5.4,1.4,112.0,14.6,70.6,,,,
Jonas Brodin,MIN,D,Daily Faceoff,2021-01-04 20:06:43.044721,3.4,15.2,5.4,2.3,74.5,30.9,94.1,,,,
Milan Lucic,CGY,LW,Daily Faceoff,2021-01-04 20:06:43.044721,6.8,11.6,-6.6,4.8,70.5,164.8,15.5,,,,
Erik Brannstrom,OTT,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.4,13.9,-15.3,4.7,88.0,37.0,85.6,,,,
Jesper Fast,CAR,RW,Daily Faceoff,2021-01-04 20:06:43.044721,6.1,11.9,0.8,0.0,59.0,90.7,34.8,,,,
Alec Martinez,VGS,D,Daily Faceoff,2021-01-04 20:06:43.044721,5.5,12.5,5.5,4.6,76.8,64.3,133.2,,,,
Marcus Pettersson,PTI,D,Daily Faceoff,2021-01-04 20:06:43.044721,1.8,16.1,9.5,2.8,66.2,82.5,76.5,,,,
Marc-Edouard Vlasic,SJ,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.3,13.4,-3.0,1.9,85.5,18.6,94.4,,,,
Ethan Bear,EDM,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.2,13.5,-3.2,1.7,83.5,49.8,89.4,,,,
Josh Manson,ANA,D,Daily Faceoff,2021-01-04 20:06:43.044721,3.6,14.1,5.9,0.0,81.6,157.3,74.4,,,,
Barclay Goodrow,TB,C/LW,Daily Faceoff,2021-01-04 20:06:43.044721,6.3,11.2,4.1,0.6,78.0,113.9,52.6,,,,
Brett Pesce,CAR,D,Daily Faceoff,2021-01-04 20:06:43.044721,3.3,14.2,11.8,0.4,81.0,38.4,95.6,,,,
Joel Kiviranta,DAL,RW,Daily Faceoff,2021-01-04 20:06:43.044721,9.6,7.5,1.7,1.4,82.0,130.3,26.5,,,,
Dante Fabbro,NSH,D,Daily Faceoff,2021-01-04 20:06:43.044721,5.1,11.9,5.4,0.9,80.4,47.2,74.3,,,,
Christian Fischer,ARI,RW,Daily Faceoff,2021-01-04 20:06:43.044721,9.1,7.6,-7.6,2.0,95.7,101.2,17.4,,,,
Lias Andersson,LA,C/LW,Daily Faceoff,2021-01-04 20:06:43.044721,8.2,8.4,-13.7,0.0,88.9,94.1,15.0,,,,
Troy Stecher,DET,D,Daily Faceoff,2021-01-04 20:06:43.044721,2.5,14.2,-8.2,2.2,90.8,71.3,68.0,,,,
Jusso Valimaki,CGY,D,Daily Faceoff,2021-01-04 20:06:43.044721,3.0,13.5,-4.7,0.0,75.9,56.9,116.5,,,,
Mike Matheson,PTI,D,Daily Faceoff,2021-01-04 20:06:43.044721,5.8,10.3,-5.9,2.2,102.5,40.5,77.9,,,,
Noah Dobson,NYI,D,Daily Faceoff,2021-01-04 20:06:43.044721,3.8,12.3,-1.6,1.8,75.8,51.2,63.5,,,,
Gustav Nyquist,CBJ,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,6.2,9.1,0.2,1.2,55.5,14.5,7.9,,,,
Caleb Jones,EDM,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.8,9.6,-9.3,1.7,56.8,51.0,61.6,,,,
Jordan Oesterle,ARI,D,Daily Faceoff,2021-01-04 20:06:43.044721,3.6,9.9,-7.0,2.8,71.4,49.0,94.5,,,,
Mario Ferraro,SJ,D,Daily Faceoff,2021-01-04 20:06:43.044721,2.2,11.3,-7.3,0.0,63.1,120.2,58.1,,,,
Alexander Romanov,MTL,D,Daily Faceoff,2021-01-04 20:06:43.044721,3.0,9.8,0.8,0.0,74.3,69.4,46.9,,,,
Dan DeKeyser,DET,D,Daily Faceoff,2021-01-04 20:06:43.044721,3.7,9.2,-4.9,0.0,61.3,72.4,113.0,,,,
John Gibson,ANA,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,15.8,2.71,1122.2,1.5
Ryan Miller,ANA,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,7.1,2.93,527.5,0.9
Darcy Kuemper,ARI,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,12.6,2.49,870.6,2.5
Antti Raanta,ARI,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,10.9,2.62,751.3,1.1
Tuukka Rask,BOS,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,18.36,2.45,835.4,2.5
Jaroslav Halak,BOS,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,15.91,2.58,720.8,3.2
Linus Ullmark,BUF,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,14.9,2.84,919.9,1.3
