team,age,name,line,ppu,position_yahoo,position,rollup,vorp,yahoo_rank,rp,rp_vorp,rp_arbitrage,round
Nsh,27.0,Viktor Arvidsson,1.0,1.0,"LW,RW",RW,40.4,-10.7,110.0,32.0,47.0,-15.0,10.0
Nsh,27.0,Viktor Arvidsson,1.0,1.0,"LW,RW",LW,40.4,-13.4,110.0,37.0,46.5,-9.5,10.0
NJ,29.0,Kyle Palmieri,1.0,1.0,RW,RW,43.5,-7.6,110.5,33.0,33.0,0.0,10.0
StL,28.0,Jaden Schwartz,2.0,2.0,LW,LW,42.5,-11.3,112.0,38.0,40.0,-2.0,10.0
Cls,25.0,Max Domi,2.0,1.0,"C,LW",C,37.9,-17.2,113.5,36.0,45.0,-9.0,10.0
Cls,25.0,Max Domi,2.0,1.0,"C,LW",LW,37.9,-15.8,113.5,39.0,56.0,-17.0,10.0
Van,25.0,Bo Horvat,2.0,1.0,C,C,40.0,-15.1,117.0,37.0,40.0,-3.0,10.0
Mon,35.0,Shea Weber,1.0,1.0,D,D,41.8,1.7,117.0,17.0,14.5,2.5,10.0
Mon,33.0,Carey Price,,,G,G,47.1,-15.2,118.5,18.0,24.0,-6.0,10.0
Cls,26.0,Seth Jones,1.0,2.0,D,D,39.1,-1.0,118.5,18.0,23.0,-5.0,10.0
TB,23.0,Anthony Cirelli,2.0,2.0,C,C,40.8,-14.3,119.5,38.0,37.0,1.0,10.0
Was,,T.J. Oshie,2.0,1.0,RW,RW,40.6,-10.4,120.5,34.0,45.0,-11.0,11.0
Nsh,25.0,Juuse Saros,,,G,G,65.4,3.1,122.5,19.0,9.0,10.0,11.0
Van,23.0,Brock Boeser,1.0,1.0,RW,RW,41.4,-9.6,124.0,35.0,41.0,-6.0,11.0
NYI,26.0,Ryan Pulock,1.0,1.0,D,D,40.7,0.7,124.0,19.0,18.0,1.0,11.0
NYR,,Adam Fox,2.0,2.0,D,D,38.4,-1.7,125.5,20.0,25.5,-5.5,11.0
Cls,31.0,Cam Atkinson,2.0,2.0,RW,RW,43.0,-8.1,125.5,36.0,35.5,0.5,11.0
Min,,Kirill Kaprizov,1.0,1.0,LW,LW,37.1,-16.6,125.5,40.0,59.5,-19.5,11.0
NYI,29.0,Brock Nelson,2.0,2.0,C,C,40.2,-14.9,128.5,39.0,38.0,1.0,11.0
SJ,27.0,Tomas Hertl,2.0,1.0,"C,LW",LW,37.6,-16.1,130.0,41.0,57.0,-16.0,11.0
SJ,27.0,Tomas Hertl,2.0,1.0,"C,LW",C,37.6,-17.5,130.0,40.0,46.0,-6.0,11.0
Col,29.0,Philipp Grubauer,,,G,G,73.1,10.7,130.5,20.0,4.0,16.0,11.0
TB,29.0,Ondrej Palat,1.0,1.0,LW,LW,44.0,-9.8,130.5,42.0,35.0,7.0,11.0
Cls,26.0,Joonas Korpisalo,,,G,G,56.7,-5.7,132.0,21.0,17.0,4.0,12.0
Chi,25.0,Dominik Kubalik,2.0,1.0,"LW,RW",LW,43.0,-10.8,134.0,43.0,39.0,4.0,12.0
Chi,25.0,Dominik Kubalik,2.0,1.0,"LW,RW",RW,43.0,-8.1,134.0,37.0,35.5,1.5,12.0
NYR,,Tony DeAngelo,,,D,D,40.7,0.6,134.0,21.0,19.0,2.0,12.0
Ari,29.0,Oliver Ekman-Larsson,1.0,1.0,D,D,35.1,-4.9,135.5,22.0,44.0,-22.0,12.0
Wpg,24.0,Nikolaj Ehlers,1.0,2.0,"LW,RW",LW,41.3,-12.5,135.5,44.0,44.0,0.0,12.0
Wpg,24.0,Nikolaj Ehlers,1.0,2.0,"LW,RW",RW,41.3,-9.8,135.5,38.0,42.0,-4.0,12.0
Mon,28.0,Tyler Toffoli,3.0,1.0,"LW,RW",RW,39.3,-11.8,136.0,39.0,54.0,-15.0,12.0
Mon,28.0,Tyler Toffoli,3.0,1.0,"LW,RW",LW,39.3,-14.5,136.0,45.0,51.0,-6.0,12.0
Mon,33.0,Jeff Petry,2.0,1.0,D,D,39.2,-0.9,136.0,23.0,22.0,1.0,12.0
Nsh,30.0,Ryan Ellis,1.0,2.0,D,D,42.2,2.1,136.5,24.0,13.0,11.0,12.0
VGK,27.0,William Karlsson,2.0,1.0,C,C,42.6,-12.5,137.5,41.0,34.0,7.0,12.0
Buf,25.0,Victor Olofsson,1.0,1.0,"LW,RW",LW,40.0,-13.7,137.5,46.0,48.5,-2.5,12.0
Buf,25.0,Victor Olofsson,1.0,1.0,"LW,RW",RW,40.0,-11.0,137.5,40.0,50.0,-10.0,12.0
