name,age,salary
Scott Mayfield,28,1200000.0
Colton Sceviour,31,1200000.0
Jack Johnson,33,1150000.0
Dmitry Kulikov,30,1150000.0
Jacob Larsson,23,1100000.0
Ilya Mikheyev,26,1100000.0
Kyle Turris,31,1100000.0
Sean Kuraly,27,1050000.0
Haydn Fleury,24,1050000.0
Alex Galchenyuk,26,1050000.0
Brad Richardson,35,1000000.0
Christian Wolanin,25,1000000.0
Nick Cousins,27,1000000.0
