position,name,ros_total,ros_mean,week_points
TE,Jordan Cameron,30.0,3.0,2.8
TE,Jordan Reed,85.9,8.59,9.6
TE,Josh Hill,18.5,1.6818181818181819,1.6
TE,Julius Thomas,54.1,4.918181818181818,5.4
TE,Justin Perillo,6.2,0.5636363636363636,0.9
TE,Kellen Davis,2.6,0.26,0.1
TE,Konrad Reuland,1.2000000000000002,0.13333333333333333,NA
TE,Kyle Rudolph,64.6,5.872727272727273,5.1
TE,Ladarius Green,12.3,1.23,1.3
TE,Lance Kendricks,40.9,4.09,4.0
TE,Larry Donnell,41.1,4.11,4.1
TE,Levine Toilolo,16.5,1.65,1.7
TE,Logan Paulsen,2.1,0.21000000000000002,0.2
TE,Luke Stocker,16.7,1.518181818181818,1.5
TE,Luke Willson,52.4,5.24,NA
TE,Marcedes Lewis,21.9,1.990909090909091,2.2
TE,MarQueis Gray,7.5,0.75,0.7
TE,Martellus Bennett,59.9,5.99,6.0
TE,Mychal Rivera,15.4,1.54,1.5
TE,MyCole Pruitt,5.4,0.4909090909090909,0.4
TE,Neal Sterling,1.3,0.1181818181818182,0.1
TE,Nick Boyle,2.8,0.4666666666666667,NA
TE,Nick O'Leary,11.100000000000001,1.11,1.1
TE,Nick Vannett,1.66,0.1509090909090909,1.2
TE,Niles Paul,4.0,0.4,0.4
TE,Phillip Supernaw,5.1,0.51,0.5
TE,Randall Telfer,0.03,0.015,NA
TE,Rashaun Allen,1.3,0.13,NA
TE,Rhett Ellison,9.0,0.8181818181818182,0.7
TE,Richard Rodgers,44.0,4.0,4.0
TE,Rob Gronkowski,118.0,11.8,11.9
TE,Ryan Griffin,24.2,2.42,2.3
TE,Sean McGrath,2.0,0.2,0.2
TE,Seth DeValve,5.6,0.5599999999999999,0.6
TE,Stephen Anderson,4.9,0.49,0.5
TE,Temarrick Hemingway,0.01,0.005,0.0
TE,Travis Kelce,75.2,6.836363636363637,6.5
TE,Trey Burton,1.1,0.1,0.1
TE,Tyler Eifert,42.7,5.3375,NA
TE,Tyler Higbee,4.8,0.48,0.5
TE,Tyler Kroft,16.0,1.6,2.1
TE,Vance McDonald,51.7,5.17,5.0
TE,Vernon Davis,29.2,2.92,3.3
TE,Virgil Green,37.5,3.75,3.4
TE,Will Tye,33.1,3.31,3.3
TE,Xavier Grimble,14.0,1.4,1.4
TE,Zach Ertz,65.5,5.954545454545454,5.8
TE,Zach Miller,61.5,6.15,9.3
WR,A.J. Green,112.2,11.22,10.8
WR,Aaron Burbridge,0.9400000000000001,0.094,0.1
WR,Adam Humphries,56.4,5.127272727272727,5.2
WR,Adam Thielen,54.5,4.954545454545454,4.6
WR,Albert Wilson,31.8,2.890909090909091,3.0
WR,Aldrick Robinson,20.7,2.0700000000000003,2.1
WR,Alex Erickson,2.1,0.21000000000000002,0.2
WR,Allen Hurns,74.1,6.736363636363636,7.9
WR,Allen Robinson,127.6,11.6,13.5
WR,Alshon Jeffery,97.5,9.75,12.3
WR,Amari Cooper,96.5,9.65,10.5
WR,Andre Caldwell,4.7,0.47000000000000003,0.5
WR,Andre Holmes,26.3,2.63,2.8
WR,Andre Johnson,33.4,3.34,3.3
WR,Andre Roberts,12.6,1.26,1.3
WR,Andrew Hawkins,45.3,4.53,5.6
WR,Anquan Boldin,64.3,6.43,6.7
WR,Antonio Brown,142.4,14.24,11.8
