source,fetched_at,team,position,name,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
Daily Faceoff,2021-01-07 08:20:37.590158,PIT,LW/RW,Kasperi Kapanen,15.0,21.9,4.6,2.7,130.2,62.0,13.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CBJ,C/LW,Max Domi,12.7,23.9,2.4,7.3,124.5,31.4,18.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,DAL,C/RW,Joe Pavelski,15.2,21.3,2.4,12.2,122.3,61.8,44.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,WSH,RW,T.J. Oshie,15.1,21.2,2.9,9.4,105.4,90.7,43.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NYI,LW,Anthony Beauvillier,20.1,16.1,-0.7,6.8,158.6,73.7,28.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,ARI,LW/RW,Clayton Keller,12.5,23.6,-8.1,12.5,137.7,9.9,14.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NJD,LW/RW,Andreas Johnsson,15.6,20.5,-6.8,5.5,118.2,58.5,32.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NJD,RW,Kyle Palmieri,18.6,17.4,-2.4,13.4,145.6,75.5,30.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CAR,C/RW,Martin Necas,14.1,21.7,-5.3,8.9,95.6,64.2,18.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,STL,C/RW,Robert Thomas,9.1,26.7,2.8,6.0,79.8,12.4,16.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,COL,LW/RW,Andre Burakovsky,14.3,21.2,6.4,4.8,103.1,34.2,29.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CGY,C/RW,Mikael Backlund,13.0,22.4,4.5,6.9,138.6,36.8,21.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,LAK,C,Gabriel Vilardi,13.8,21.7,-7.0,6.1,106.4,9.6,32.1,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,MIN,LW,Zach Parise,17.2,18.2,-3.5,9.0,147.8,31.4,45.6,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,BOS,RW,Ondrej Kase,17.6,17.7,4.1,3.1,154.3,23.3,21.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NSH,C,Ryan Johansen,9.1,26.2,2.9,10.1,86.3,49.5,19.9,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NSH,LW,Mikael Granlund,12.9,22.3,0.3,11.0,126.7,33.4,34.6,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,ARI,C/RW,Nick Schmaltz,10.7,24.5,-2.4,8.9,81.3,8.9,25.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,TBL,C,Anthony Cirelli,15.1,20.1,19.8,2.5,98.9,76.7,40.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,WPG,C,Paul Stastny,12.4,22.8,3.3,5.8,99.4,39.7,21.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,BUF,D,Rasmus Dahlin,5.5,29.7,-8.1,15.1,111.6,64.1,44.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NYI,C,Brock Nelson,17.4,17.7,2.9,5.7,133.9,40.1,39.9,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,DAL,D,Miro Heiskanen,8.2,27.0,13.0,8.1,127.4,51.7,67.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NSH,RW,Eeli Tolvanen,17.1,17.8,-3.1,7.7,164.1,67.9,18.9,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,VAN,LW,Tanner Pearson,15.5,19.5,-2.5,8.1,131.1,78.9,33.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,BUF,C,Eric Staal,13.6,21.2,-6.1,9.8,120.1,23.8,18.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,MIN,C/LW,Marcus Johansson,11.1,23.4,0.7,7.7,85.1,26.1,17.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CAR,D,Dougie Hamilton,13.0,21.5,8.2,8.7,203.5,85.9,68.1,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NSH,C/RW,Matt Duchene,14.7,19.8,-5.9,7.6,116.0,30.0,26.8,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,MTL,C/LW,Jonathan Drouin,11.0,23.3,-8.5,11.1,113.4,37.8,15.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,SJS,LW/RW,Kevin Labanc,11.5,22.7,-9.8,12.0,122.5,37.9,16.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,BOS,LW/RW,Jake DeBrusk,17.8,16.3,3.9,7.5,131.9,43.0,18.6,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,TOR,LW,Ilya Mikheyev,12.6,21.4,10.1,4.7,140.1,37.2,18.6,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CBJ,D,Seth Jones,7.8,26.3,5.3,9.1,141.7,64.0,99.2,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CBJ,D,Zach Werenski,11.5,22.4,4.1,11.1,149.2,40.2,65.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,FLA,RW,Patric Hornqvist,17.3,16.6,5.1,10.0,179.8,133.7,43.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,VGK,D,Alex Pietrangelo,8.7,24.8,4.5,11.3,142.9,35.3,99.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,CAR,C,Vincent Trocheck,13.1,20.1,-7.8,8.7,131.1,83.8,29.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,BUF,C,Dylan Cozens,12.4,20.4,-7.9,4.4,104.1,49.2,10.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,MIN,RW,Mats Zuccarello,10.6,22.3,-7.8,9.2,96.7,33.8,37.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,NSH,D,Ryan Ellis,8.2,24.5,18.2,5.6,115.4,47.2,106.0,,,,,
