source,fetched_at,team,position,name,ranking_preseason,ranking_current,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
Yahoo,2021-01-08 10:51:03.078557,Cgy,"C,RW",Elias Lindholm,58.0,62.0,21.0,25.0,3.0,15.0,128.0,69.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Wpg,C,Mark Scheifele,45.0,63.0,23.0,33.0,3.0,14.0,129.0,29.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Wpg,LW,Kyle Connor,66.0,64.0,27.0,25.0,2.0,12.0,168.0,11.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Dal,"C,LW",Jamie Benn,104.0,65.0,18.0,18.0,4.0,11.0,131.0,122.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,StL,"C,RW",Brayden Schenn,65.0,66.0,18.0,27.0,2.0,13.0,125.0,91.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Was,RW,Tom Wilson,68.0,67.0,16.0,17.0,3.0,5.0,117.0,188.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Col,D,Cale Makar,49.0,68.0,10.0,34.0,10.0,18.0,105.0,44.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Was,C,Evgeny Kuznetsov,56.0,69.0,17.0,36.0,3.0,17.0,116.0,31.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Phi,RW,Travis Konecny,73.0,70.0,19.0,29.0,2.0,16.0,122.0,54.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Dal,"LW,RW",Alexander Radulov,106.0,71.0,16.0,25.0,10.0,14.0,131.0,41.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Nsh,LW,Filip Forsberg,61.0,72.0,17.0,21.0,8.0,10.0,151.0,65.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,VGK,RW,Reilly Smith,130.0,73.0,19.0,24.0,13.0,8.0,130.0,37.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,StL,"LW,RW",Mike Hoffman,75.0,74.0,23.0,23.0,-7.0,19.0,167.0,26.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Nsh,"LW,RW",Viktor Arvidsson,145.0,75.0,20.0,21.0,12.0,6.0,164.0,20.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Mon,"LW,RW",Tomas Tatar,141.0,76.0,17.0,26.0,7.0,10.0,129.0,61.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYR,"C,RW",Ryan Strome,111.0,77.0,14.0,30.0,12.0,12.0,112.0,38.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Buf,LW,Taylor Hall,54.0,78.0,15.0,29.0,-5.0,17.0,171.0,37.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYR,LW,Chris Kreider,95.0,79.0,19.0,16.0,7.0,9.0,128.0,95.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,StL,"LW,RW",David Perron,109.0,80.0,18.0,25.0,1.0,19.0,116.0,50.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,SJ,LW,Evander Kane,63.0,81.0,20.0,17.0,-5.0,8.0,172.0,109.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Fla,RW,Patric Hornqvist,119.0,83.0,16.0,16.0,5.0,7.0,154.0,98.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cgy,C,Sean Monahan,98.0,84.0,20.0,22.0,3.0,14.0,135.0,43.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Det,C,Dylan Larkin,79.0,85.0,17.0,31.0,-6.0,11.0,176.0,45.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cls,C,Pierre-Luc Dubois,67.0,86.0,16.0,24.0,6.0,10.0,124.0,72.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Tor,D,Morgan Rielly,72.0,87.0,5.0,30.0,10.0,14.0,136.0,41.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,VGK,D,Alex Pietrangelo,64.0,88.0,11.0,26.0,6.0,13.0,150.0,37.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,"LW,RW",Blake Coleman,127.0,89.0,16.0,9.0,5.0,2.0,150.0,152.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Edm,RW,Kailer Yamamoto,87.0,90.0,16.0,24.0,10.0,8.0,104.0,77.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Edm,"C,LW",Ryan Nugent-Hopkins,70.0,91.0,18.0,29.0,-3.0,17.0,136.0,30.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Pit,D,Kris Letang,71.0,92.0,10.0,25.0,4.0,13.0,132.0,73.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Min,LW,Kirill Kaprizov,158.0,93.0,19.0,18.0,7.0,9.0,147.0,37.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Tor,"LW,RW",William Nylander,88.0,94.0,22.0,27.0,0.0,11.0,151.0,8.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYI,C,Mathew Barzal,78.0,95.0,15.0,34.0,3.0,13.0,124.0,18.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Was,C,Nicklas Backstrom,83.0,96.0,14.0,34.0,2.0,15.0,111.0,29.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,LA,C,Anze Kopitar,89.0,98.0,16.0,30.0,2.0,15.0,107.0,39.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cls,"C,LW",Max Domi,128.0,99.0,16.0,24.0,7.0,10.0,135.0,28.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,VGK,D,Shea Theodore,110.0,100.0,10.0,24.0,7.0,12.0,160.0,16.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Chi,"LW,RW",Alex DeBrincat,92.0,101.0,23.0,20.0,-5.0,13.0,148.0,39.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,C,Anthony Cirelli,137.0,102.0,14.0,21.0,18.0,4.0,90.0,69.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYR,D,Adam Fox,148.0,103.0,7.0,26.0,16.0,11.0,111.0,31.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Phi,D,Ivan Provorov,103.0,104.0,10.0,18.0,9.0,11.0,120.0,78.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,SJ,C,Logan Couture,76.0,105.0,19.0,23.0,-2.0,13.0,137.0,42.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Wpg,"LW,RW",Nikolaj Ehlers,164.0,107.0,18.0,23.0,7.0,7.0,141.0,25.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,SJ,"LW,RW",Timo Meier,74.0,109.0,18.0,22.0,-11.0,8.0,160.0,106.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,StL,LW,Jaden Schwartz,114.0,110.0,17.0,25.0,1.0,11.0,127.0,45.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Phi,RW,Jakub Voracek,184.0,111.0,10.0,32.0,7.0,14.0,115.0,14.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYI,D,Ryan Pulock,136.0,112.0,7.0,20.0,9.0,8.0,127.0,90.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,StL,D,Torey Krug,90.0,113.0,7.0,31.0,-2.0,21.0,124.0,34.0,,,,,,
