ADP,PLAYER,POS,TEAM,GP,TOI,G,A,P,+/-,SOG,HIT,BLK,PPP,GWG,SHO,W,SV%,GAA,SV,SA,TOTAL
159.4,Adrian Kempe,"LW,RW",LAK,80,16.7,0.35,0.33,0.68,-0.10,2.64,1.28,0.28,0.15,0.04,,,(/),,,,0.14
159.5,Philipp Grubauer,G,SEA,43,60.0,,,,,,,,,,0.07,0.42,0.904 (28.0/31.0),3.06,28.03,31.00,-2.59
160.5,Andrew Mangiapane,"LW,RW",CGY,78,14.4,0.32,0.40,0.72,0.10,1.64,0.85,0.35,0.07,0.04,,,(/),,,,-0.79
160.7,Cam Atkinson,RW,PHI,71,18.5,0.32,0.37,0.69,-0.04,2.92,0.31,0.54,0.12,0.07,,,(/),,,,1.27
160.7,T.J. Oshie,"C,RW",WSH,65,18.0,0.28,0.34,0.62,-0.05,1.72,1.52,0.61,0.21,0.03,,,(/),,,,-0.74
161.2,Sean Couturier,C,PHI,59,20.3,0.39,0.58,0.97,0.11,2.38,0.78,0.47,0.17,0.04,,,(/),,,,3.69
161.4,Tanner Jeannot,RW,NSH,77,14.3,0.26,0.31,0.57,0.05,1.64,3.56,0.83,0.02,0.04,,,(/),,,,1.11
161.6,Travis Konecny,RW,PHI,77,16.5,0.27,0.44,0.71,-0.11,2.67,0.90,0.40,0.16,0.03,,,(/),,,,-0.51
161.9,Andre Burakovsky,"LW,RW",SEA,74,14.9,0.31,0.46,0.77,-0.01,2.12,0.55,0.42,0.18,0.05,,,(/),,,,0.80
161.9,Gustav Forsling,D,FLO,79,19.9,0.09,0.48,0.57,0.29,2.34,0.70,1.15,0.02,0.01,,,(/),,,,-1.97
162.2,Shayne Gostisbehere,D,ARI,68,20.4,0.15,0.50,0.65,-0.13,2.03,0.82,1.34,0.27,0.02,,,(/),,,,-0.21
162.4,Matt Dumba,D,MIN,74,22.8,0.12,0.42,0.54,0.03,2.01,1.28,1.06,0.09,0.01,,,(/),,,,-2.43
163.5,Tyler Seguin,"C,RW",DAL,72,18.5,0.36,0.47,0.83,-0.10,3.08,0.93,0.37,0.18,0.05,,,(/),,,,2.35
163.8,Taylor Hall,LW,BOS,72,18.0,0.32,0.47,0.79,-0.02,2.82,0.62,0.40,0.21,0.03,,,(/),,,,0.97
164.4,Anders Lee,LW,NYI,67,17.3,0.37,0.34,0.72,0.00,2.30,1.36,0.49,0.16,0.04,,,(/),,,,1.41
164.4,Tyler Bertuzzi,"LW,RW",DET,68,18.9,0.35,0.43,0.78,-0.17,2.41,0.78,0.41,0.14,0.04,,,(/),,,,-0.47
164.4,Nico Hischier,C,NJD,67,18.5,0.31,0.51,0.82,-0.11,2.25,0.60,0.56,0.13,0.02,,,(/),,,,-0.67
164.4,Frank Vatrano,"LW,RW",ANA,75,13.9,0.28,0.25,0.53,0.01,2.14,1.43,0.61,0.04,0.03,,,(/),,,,-2.49
164.7,Joel Eriksson Ek,C,MIN,74,16.5,0.28,0.35,0.64,0.16,2.41,1.74,0.57,0.09,0.03,,,(/),,,,0.50
164.9,Tyler Toffoli,"LW,RW",CGY,77,17.4,0.40,0.42,0.82,-0.02,3.11,0.91,0.24,0.15,0.03,,,(/),,,,1.47
165.0,Brock Nelson,C,NYI,77,17.8,0.40,0.32,0.73,-0.02,2.05,0.52,0.53,0.14,0.04,,,(/),,,,-0.16
165.0,Alex Tuch,RW,BUF,62,16.8,0.23,0.33,0.55,0.00,2.25,0.89,0.61,0.11,0.02,,,(/),,,,-2.51
165.1,Artturi Lehkonen,"LW,RW",COL,74,14.9,0.26,0.35,0.61,0.00,1.82,1.28,0.45,0.02,0.03,,,(/),,,,-2.96
165.5,Ivan Provorov,D,PHI,80,24.9,0.10,0.31,0.41,-0.01,1.91,1.03,1.81,0.11,0.02,,,(/),,,,-2.53
165.9,Jakub Voracek,"LW,RW",CBJ,78,17.5,0.14,0.60,0.74,-0.03,1.88,0.27,0.32,0.24,0.02,,,(/),,,,-1.75
165.9,Anthony Mantha,"LW,RW",WSH,68,17.2,0.31,0.38,0.69,-0.07,2.24,0.90,0.38,0.09,0.01,,,(/),,,,-2.72
166.1,Oliver Bjorkstrand,RW,SEA,75,16.9,0.33,0.45,0.79,-0.17,2.82,0.95,0.51,0.21,0.02,,,(/),,,,0.35
166.2,Casey DeSmith,G,PIT,27,60.0,,,,,,,,,,0.10,0.40,0.906 (27.2/30.0),2.94,27.18,30.00,-1.76
166.3,Tom Wilson,RW,WSH,29,17.7,0.41,0.52,0.93,0.15,1.75,3.48,0.62,0.26,0.11,,,(/),,,,11.33
166.4,Jakub Vrana,LW,DET,74,14.7,0.35,0.45,0.80,0.02,2.23,0.36,0.18,0.09,0.04,,,(/),,,,-0.80
