source,fetched_at,team,position,name,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
CBS,2021-01-07 08:20:41.125491,NYR,LW,Pavel Buchnevich,14.7,24.45,7.35,4.44,118.81,,,,,,,
CBS,2021-01-07 08:20:41.125491,CHI,RW,Alex DeBrincat,15.02,22.38,0.38,9.5,148.95,,,,,,,
CBS,2021-01-07 08:20:41.125491,NYI,RW,Jordan Eberle,15.34,23.01,2.1,7.52,133.62,,,,,,,
CBS,2021-01-07 08:20:41.125491,BOS,LW,Nick Ritchie,12.93,14.99,12.89,2.69,86.97,,,,,,,
CBS,2021-01-07 08:20:41.125491,EDM,LW,James Neal,22.8,12.51,-1.67,8.06,112.68,,,,,,,
CBS,2021-01-07 08:20:41.125491,MON,RW,Tyler Toffoli,19.72,15.74,4.0,5.6,170.64,,,,,,,
CBS,2021-01-07 08:20:41.125491,TB,C,Alex Killorn,19.54,16.02,0.21,6.03,106.3,,,,,,,
CBS,2021-01-07 08:20:41.125491,DAL,LW,Jamie Benn,16.84,18.1,-0.79,5.29,125.67,,,,,,,
CBS,2021-01-07 08:20:41.125491,WAS,RW,T.J. Oshie,20.49,16.22,-4.65,6.33,117.14,,,,,,,
CBS,2021-01-07 08:20:41.125491,DET,RW,Anthony Mantha,17.47,22.12,-9.53,5.23,139.58,,,,,,,
CBS,2021-01-07 08:20:41.125491,DAL,RW,Alexander Radulov,15.8,18.63,-0.14,5.33,108.08,,,,,,,
CBS,2021-01-07 08:20:41.125491,CLB,RW,Cam Atkinson,16.1,20.7,1.74,6.33,188.27,,,,,,,
CBS,2021-01-07 08:20:41.125491,WAS,RW,Tom Wilson,15.8,17.99,-5.55,3.79,131.24,,,,,,,
CBS,2021-01-07 08:20:41.125491,DAL,LW,Roope Hintz,15.6,17.89,3.88,6.81,105.6,,,,,,,
CBS,2021-01-07 08:20:41.125491,OTT,LW,Brady Tkachuk,15.37,16.22,-0.78,3.88,187.63,,,,,,,
CBS,2021-01-07 08:20:41.125491,SJ,RW,Timo Meier,17.17,18.81,-0.28,4.32,155.19,,,,,,,
CBS,2021-01-07 08:20:41.125491,NYI,LW,Anders Lee,17.02,16.44,-0.28,4.99,167.77,,,,,,,
CBS,2021-01-07 08:20:41.125491,MON,RW,Brendan Gallagher,16.98,18.45,-0.66,4.18,227.7,,,,,,,
CBS,2021-01-07 08:20:41.125491,ARI,C,Clayton Keller,14.99,21.47,-4.88,6.46,131.65,,,,,,,
CBS,2021-01-07 08:20:41.125491,TB,LW,Ondrej Palat,17.25,17.31,0.21,4.47,128.79,,,,,,,
CBS,2021-01-07 08:20:41.125491,WAS,C,Jakub Vrana,17.66,19.05,-5.38,5.43,158.29,,,,,,,
CBS,2021-01-07 08:20:41.125491,EDM,C,Seth Griffith,14.64,18.35,4.15,4.36,104.38,,,,,,,
CBS,2021-01-07 08:20:41.125491,NYI,LW,Josh Bailey,10.72,27.4,-4.94,6.81,79.17,,,,,,,
