score,round,arbitrage,adp,my_rank,name,position,multi,position_rank,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,save_percentage,shutouts
0.8124030824821229,,,,103.0,Josh Manson,D,D,37.0,0.023504649859484215,0.18110148258940967,0.7326778323004345,0.021886381139309047,0.08541892746387685,0.7569446522644038,0.4658421856890373,,,,,
0.8120053422784694,15.7,43.0,147.0,104.0,Duncan Keith,D,D,38.0,0.020038024913277205,0.3276372077015913,0.431551560118289,0.3647730189884842,0.3165524958955436,0.08031242994847784,0.7162323604968949,,,,,
0.8119857504229806,,,,105.0,Milan Lucic,LW,LW,14.0,0.1802800426061101,0.18600097029119111,0.39738380863079226,0.29181841519078733,0.22499233835256446,0.9015070261716638,0.0698763278533556,,,,,
0.8116064963629197,,,,106.0,Oscar Klefbom,D,D,39.0,0.08064955256018792,0.15801489132447075,0.44156307869930284,0.2954661453806722,0.40029654242875623,0.15460142765081986,0.7802856610291374,,,,,
0.8113448049711376,7.3,-44.0,63.0,107.0,Mikko Rantanen,RW,RW,18.0,0.31566496034833763,0.38723909081724195,0.43968017841571766,0.7149551172174288,0.3321847179150766,0.08633586219461369,0.16013325133060657,,,,,
0.8111627691439016,19.1,73.0,181.0,108.0,J.T. Miller,C,C/RW,24.0,0.36262762385726743,0.3509546648791796,0.747144017406028,0.35018209822894475,0.2931041628662441,0.4959292549318507,0.17469081963338898,,,,,
0.8109613623929055,9.1,-28.0,81.0,109.0,Jonathan Huberdeau,LW,LW,15.0,0.38394037184493474,0.4227924413652478,0.5094852620998508,0.4304321624064113,0.4081126534385227,0.14054675240983622,0.14266416936726767,,,,,
0.8105762027653354,,,,110.0,Kailer Yamamoto,RW,RW,19.0,0.2944921209907864,0.6568904767917283,0.4576825421026783,0.5690459096220353,0.4237448754580557,,,,,,,
0.8105402270356583,10.8,-13.0,98.0,111.0,Mike Hoffman,LW,RW/LW,16.0,0.37158177618468996,0.3124385351188398,0.4841349948671919,0.4815003850647991,0.5744841592178384,0.09235929444074951,0.10190297811947692,,,,,
0.8096318893907981,17.3,51.0,163.0,112.0,Shea Theodore,D,D,40.0,0.06723386947240027,0.25703071608298644,0.7359384644988382,0.32829571708963573,0.31543590860843407,0.10842178043044509,0.4512846173862549,,,,,
0.8092023473361345,14.8,25.0,138.0,113.0,Jason Zucker,LW,LW/RW,17.0,0.4452203518357327,0.2204769465801665,0.6625053534390164,0.2553411132919389,0.4081126534385227,0.2911325585632322,0.18633687427561493,,,,,
0.8090250955087948,3.6,-88.0,26.0,114.0,Johnny Gaudreau,LW,LW,18.0,0.37203259288173035,0.6168737185991675,0.4363965840187337,0.4705571944951445,0.43379416104204127,0.034132782728103085,0.02911513660556483,,,,,
0.80882968953675,,,,115.0,Anders Lee,LW,LW,19.0,0.5610180613617235,0.11962702040449177,0.3457647862222622,0.4085457812671023,0.45389273221001225,0.5441167129009374,0.14557568302782417,,,,,
0.808470345264266,20.7,81.0,197.0,116.0,Mark Stone,RW,RW,20.0,0.38258792175381356,0.5015177175786895,0.4499672433796951,0.4012503208873325,0.30092027387601067,0.18471858888149903,0.23292109284451865,,,,,
0.8076584406132625,12.9,2.0,119.0,117.0,Corey Crawford,G,G,14.0,,,,,,,,0.37050642875885603,0.7979580204873634,0.6704589347934296,0.9277483571735684,0.46251473252773456
0.8076371240938006,,,,118.0,Boone Jenner,C,C/LW,25.0,0.21595674328568432,0.09403938175251779,0.5467529103956891,0.10943190569654523,0.40029654242875623,0.8051321102334904,0.3959658578356817,,,,,
0.8075256362957294,5.1,-78.0,41.0,119.0,Jack Eichel,C,C,26.0,0.48029078178480455,0.5025566141856116,0.2296219858030696,0.6711823549388108,0.6481789201670655,0.1525936169021079,0.14557568302782417,,,,,
0.8072113048571972,17.6,46.0,166.0,120.0,Mattias Ekholm,D,D,41.0,0.05837298956505503,0.16934014692832683,0.8161683863384306,0.20427289063355114,0.1390151172451329,0.24093728984543353,0.5852142457718532,,,,,
0.8069402776060906,15.5,24.0,145.0,121.0,Pierre-Luc Dubois,C,C/LW,27.0,0.33860997568735796,0.2955468458433262,0.5924247233719195,0.4012503208873325,0.35674963823148564,0.48990582268571486,0.20380595623895384,,,,,
0.8066066728242125,11.6,-16.0,106.0,122.0,Oliver Ekman-Larsson,D,D,42.0,0.17780832347406117,0.21839915336632199,0.12376625034785449,0.45961400392549,0.4025297170029752,0.5501401451470732,0.3901428305145687,,,,,
0.8059770063491651,15.3,20.0,143.0,123.0,Jaden Schwartz,LW,LW,20.0,0.3996567746279628,0.3736180019709279,0.6239747842212613,0.29181841519078733,0.3053866230244486,0.21082012861475433,0.16304476499116308,,,,,
0.8059596073261812,5.6,-78.0,46.0,124.0,Mathew Barzal,C,C,28.0,0.31142106523481966,0.6611230185236336,0.5431937696157414,0.6565914341792715,0.30315344845022957,0.04818745796908671,0.11063751910114636,,,,,
0.8058389650112375,14.4,9.0,134.0,125.0,Nick Leddy,D,D,43.0,0.10612846864464204,0.2879282707258964,0.3659255965757717,0.42313670202664155,0.22499233835256446,0.3112106660503517,0.5182494315790541,,,,,
0.8056603263407296,,,,126.0,Jake DeBrusk,LW,LW,21.0,0.29435221236067044,0.24271702949872437,0.7301060660594402,0.27722749443124794,0.32436860690531016,0.28109350481967244,0.10772600544058987,,,,,
0.8055749815964474,16.1,24.0,151.0,127.0,Erik Johnson,D,D,44.0,0.07800683399133056,0.06291096119695849,0.4147891551546649,0.13131828683585428,0.2640728934013971,0.4356949324704923,0.8181353386163718,,,,,
0.8055647685679952,,,,128.0,Chris Kreider,LW,LW,22.0,0.3397292447282858,0.20766388842812541,0.41070188380737027,0.32100025670986604,0.34670035264750015,0.5561635773932091,0.11937206008281581,,,,,
0.8054849028191318,18.1,42.0,171.0,129.0,Alex Tuch,RW,RW,21.0,0.23995884605224765,0.1649921722400967,0.7215182037904052,0.24075019253239954,0.34335059078617164,0.35739031327072646,0.19215990159672788,,,,,
0.8052152576012532,,,,130.0,Nino Niederreiter,LW,LW/RW,23.0,0.35413983363023144,0.12839992508516856,0.7484299005265251,0.21156835101332078,0.3455837653603906,0.4517574184601879,0.0698763278533556,,,,,
0.8049980388087157,12.8,-13.0,118.0,131.0,Cam Atkinson,RW,RW,22.0,0.4661600101430908,0.20793323199288302,0.6568107281911002,0.31370479633009635,0.5811836829404954,0.11243740192786898,0.1397526557067112,,,,,
0.8049496002758522,,,,132.0,Josh Bailey,RW,RW,23.0,0.25433834414750084,0.5007481645365248,0.37814148622049504,0.6128186719006533,0.28305487728225853,0.07027337620491811,0.16595627865171955,,,,,
0.8049035652158755,15.2,9.0,142.0,133.0,Ryan Johansen,C,C,29.0,0.23125342017836453,0.44453231480639854,0.7572933091785236,0.4304321624064113,0.22499233835256446,0.3252653412913353,0.12228357374337229,,,,,
0.8044209884605364,8.2,-62.0,72.0,134.0,Clayton Keller,LW,LW/RW,24.0,0.3782041180101796,0.4741216292776286,0.26842810140378837,0.5471595284827262,0.5387533660303344,0.0,0.11354903276170285,,,,,
0.8043020727227688,,,,135.0,Sami Vatanen,D,D,45.0,0.008612153453805714,0.236175828640325,0.3284053640955501,0.42313670202664155,0.22499233835256446,0.30719504455292773,0.5852142457718532,,,,,
0.8026103095667387,16.2,16.0,152.0,136.0,Justin Faulk,D,D,46.0,0.11111854311877856,0.16699301014972476,0.14011533573703305,0.46690946430525965,0.42709463731938424,0.45577303995761176,0.41925796712013363,,,,,
0.8022676602115655,16.5,18.0,155.0,137.0,Kevin Fiala,LW,RW/LW,25.0,0.35362683531980627,0.1863857468122734,0.7904507239284868,0.26993203405147825,0.4326775737549317,0.13251550941498846,0.09316843713780747,,,,,
0.8022361622664567,7.2,-76.0,62.0,138.0,William Karlsson,C,C/LW,30.0,0.5421303962960665,0.2871202400316235,0.9673974261883322,0.28452295481101764,0.3746150348252377,0.14456237390726012,0.20089444257839734,,,,,
0.8008120954157744,14.0,-9.0,130.0,139.0,Brandon Montour,D,D,47.0,0.07273694225696209,0.16129831763770647,0.6009207368466332,0.27722749443124794,0.2651894806885065,0.3272731520400472,0.41343493979902063,,,,,
0.800255702564487,13.5,-15.0,125.0,140.0,Teuvo Teravainen,LW,RW/LW,26.0,0.3212613055529767,0.41132610103699485,0.41915197288492323,0.5179776869636474,0.3489335272217191,0.074288997702342,0.09899146445892043,,,,,
0.8002023479780054,10.9,-42.0,99.0,141.0,Aaron Ekblad,D,D,48.0,0.1717922523790741,0.097233026877501,0.5532512125939159,0.24075019253239954,0.35898281280570465,0.30719504455292773,0.47748824033126325,,,,,
0.7996429487718404,,,,142.0,Ryan Donato,LW,RW/LW,27.0,0.44752107153097337,0.1858727114508303,0.7872360161272438,0.39395486050756284,0.31822737682620783,0.12247645567142872,0.052407245890016704,,,,,
0.7991563327371856,,,,143.0,Timo Meier,LW,LW,28.0,0.313706239526714,0.07777616079477191,0.5930447027335879,0.14226147740550882,0.43379416104204127,0.447741796962764,0.1572217376700501,,,,,
0.7989452773779446,16.7,13.0,157.0,144.0,Travis Konecny,LW,LW/RW,29.0,0.3359050755051157,0.16568476997804488,0.64257416507131,0.11672736607631491,0.3634491619541427,0.37345279926042196,0.18633687427561493,,,,,
