team,age,name,line,ppu,position_yahoo,position,rollup,vorp,adp,pr_vorp,pr_adp,pr_arbitrage,round,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
Fla,25.0,Aaron Ekblad,1.0,1.0,D,D,32.9,0.8,48.0,18.0,7.0,-11.0,5.0,14.375,36.975,12.75,213.425,76.6,88.6,2.6,,,,
VGK,31.0,Alex Pietrangelo,1.0,1.0,D,D,38.9,6.8,48.5,8.0,8.0,0.0,5.0,16.48,37.5,14.09,264.58,56.6,127.6,2.7,,,,
Wpg,24.0,Kyle Connor,1.0,1.0,LW,LW,38.8,-2.6,49.0,9.0,9.0,0.0,5.0,40.665,36.38,14.81,245.92,23.9,24.8,6.6,,,,
Cgy,28.0,Johnny Gaudreau,2.0,1.0,"LW,RW",RW,33.0,-7.1,50.7,19.5,11.0,-8.5,5.0,25.555,45.07,19.925,206.005,10.5,14.0,4.3,,,,
Van,,J.T. Miller,2.0,2.0,"C,LW",LW,38.4,-3.0,53.1,10.0,10.0,0.0,5.0,25.73,46.255,20.21,162.785,130.8,38.0,3.6,,,,
Tor,27.0,Morgan Rielly,1.0,1.0,D,D,31.8,-0.3,56.8,25.0,9.0,-16.0,5.0,8.84,42.015,14.03,190.57,73.1,97.3,2.2,,,,
NYI,26.0,Ilya Sorokin,,,G,G,28.8,-40.6,57.1,33.5,9.0,-24.5,5.0,,,,,,,,11.975,0.91,608.08,1.9
Wpg,25.0,Nikolaj Ehlers,2.0,1.0,"LW,RW",LW,37.2,-4.2,58.3,11.0,11.0,0.0,5.0,33.69,38.66,13.175,241.39,43.1,26.1,6.4,,,,
Bos,23.0,Charlie McAvoy,1.0,1.0,D,D,29.8,-2.3,59.5,28.5,10.0,-18.5,5.0,7.63,36.635,5.87,153.635,127.2,135.8,1.4,,,,
Nsh,26.0,Juuse Saros,,,G,G,77.4,7.9,59.9,5.0,10.0,5.0,5.0,,,,,,,,30.53,0.912,1791.27,5.015
Van,24.0,Brock Boeser,1.0,1.0,RW,RW,30.8,-9.3,60.2,26.0,12.0,-14.0,6.0,27.31,36.065,14.545,199.99,38.4,26.0,3.7,,,,
Nsh,31.0,Roman Josi,1.0,1.0,D,D,42.8,10.7,60.7,3.0,11.0,8.0,6.0,15.175,48.015,17.95,270.215,59.9,128.6,2.6,,,,
NYI,24.0,Mathew Barzal,1.0,1.0,C,C,31.4,-11.6,61.1,30.0,15.0,-15.0,6.0,23.33,47.025,13.605,194.745,31.4,37.9,3.4,,,,
Mon,34.0,Carey Price,,,G,G,57.5,-11.9,62.0,22.0,11.0,-11.0,6.0,,,,,,,,29.54,0.907,1615.33,3.955
Edm,30.0,Tyson Barrie,1.0,1.0,D,D,32.3,0.3,62.7,21.5,12.0,-9.5,6.0,9.27,45.845,18.03,202.25,46.8,88.2,1.3,,,,
Tor,29.0,Jack Campbell,,,G,G,69.0,-0.4,65.9,15.0,12.0,-3.0,6.0,,,,,,,,34.015,0.91,1538.88,4.08
Dal,24.0,Roope Hintz,1.0,2.0,"C,LW",LW,35.2,-6.2,66.6,14.0,12.0,-2.0,6.0,26.465,38.015,18.475,173.49,98.9,34.3,4.0,,,,
StL,30.0,Ryan O'Reilly,1.0,1.0,C,C,32.9,-10.1,66.8,26.0,16.0,-10.0,6.0,24.915,49.345,15.205,173.935,30.5,39.9,4.4,,,,
Min,34.0,Cam Talbot,,,G,G,70.6,1.2,67.1,10.0,13.0,3.0,6.0,,,,,,,,32.675,0.91,1676.28,4.255
Was,29.0,Evgeny Kuznetsov,1.0,1.0,C,C,27.3,-15.7,67.5,42.0,17.0,-25.0,6.0,21.455,40.94,13.445,163.11,44.6,24.9,3.0,,,,
Sea,29.0,Philipp Grubauer,,,G,G,78.8,9.4,68.4,4.0,14.0,10.0,6.0,,,,,,,,32.165,0.913,1652.93,4.72
Edm,26.0,Darnell Nurse,1.0,2.0,D,D,37.1,5.0,69.9,10.0,13.0,3.0,6.0,13.46,31.465,5.73,208.545,174.5,151.4,1.8,,,,
Was,24.0,Ilya Samsonov,,,G,G,55.8,-13.6,71.2,24.0,15.0,-9.0,6.0,,,,,,,,32.035,0.906,1566.665,3.78
Chi,27.0,Seth Jones,1.0,1.0,D,D,37.8,5.7,72.8,9.0,14.0,5.0,7.0,9.79,39.57,14.48,194.24,115.7,144.2,2.3,,,,
Dal,29.0,Tyler Seguin,2.0,1.0,"C,RW",C,34.6,-8.4,74.2,24.0,18.0,-6.0,7.0,22.4,35.75,12.885,253.91,65.5,32.7,5.3,,,,
TB,30.0,Ondrej Palat,1.0,2.0,LW,LW,31.8,-9.6,75.0,22.0,13.0,-9.0,7.0,21.085,33.245,12.26,158.795,125.5,60.2,3.2,,,,
VGK,26.0,Shea Theodore,2.0,2.0,D,D,36.1,4.1,76.3,12.5,15.0,2.5,7.0,14.7,43.22,16.83,274.495,36.1,81.5,2.0,,,,
Edm,28.0,Ryan Nugent-Hopkins,2.0,1.0,"C,LW",C,37.5,-5.5,76.6,15.0,19.0,4.0,7.0,27.265,40.265,21.935,213.795,47.1,44.2,3.8,,,,
Pit,34.0,Kris Letang,1.0,1.0,D,D,39.9,7.8,78.9,6.0,16.0,10.0,7.0,15.2,46.78,17.155,216.945,116.9,101.4,2.2,,,,
Dal,22.0,Miro Heiskanen,1.0,2.0,D,D,27.7,-4.4,80.4,36.5,17.0,-19.5,7.0,12.485,34.935,10.51,192.64,56.2,87.8,1.3,,,,
Fla,25.0,Sam Reinhart,1.0,2.0,"C,RW",C,35.5,-7.5,83.2,19.0,20.0,1.0,7.0,36.36,36.7,17.79,191.34,33.8,38.2,4.1,,,,
Tor,,Petr Mrazek,,,G,G,28.8,-40.6,83.8,33.5,16.0,-17.5,7.0,,,,,,,,14.635,0.909,623.64,2.115
Cgy,26.0,Elias Lindholm,1.0,1.0,"C,RW",C,38.9,-4.1,83.9,13.0,21.0,8.0,7.0,29.95,37.705,18.685,191.11,87.7,45.6,5.7,,,,
Fla,,Spencer Knight,,,G,G,28.4,-41.1,85.4,35.0,17.0,-18.0,8.0,,,,,,,,13.665,0.909,662.5,1.7
StL,28.0,Jordan Binnington,,,G,G,69.8,0.3,85.6,13.0,18.0,5.0,8.0,,,,,,,,33.005,0.909,1765.62,4.28
Buf,24.0,Jack Eichel,,,C,C,35.7,-7.3,85.7,18.0,22.0,4.0,8.0,26.8,42.585,18.36,218.115,47.7,38.7,3.3,,,,
Bos,28.0,Linus Ullmark,,,G,G,70.5,1.0,89.7,11.0,19.0,8.0,8.0,,,,,,,,33.115,0.91,1654.74,4.055
Ari,23.0,Jakob Chychrun,1.0,1.0,D,D,35.3,3.2,90.1,15.0,18.0,3.0,8.0,19.355,26.17,11.555,208.755,93.7,126.7,2.8,,,,
Dal,35.0,Alexander Radulov,2.0,1.0,"LW,RW",RW,28.4,-11.6,90.2,32.0,13.0,-19.0,8.0,22.9,31.615,12.475,165.57,52.8,49.6,3.7,,,,
Was,,T.J. Oshie,2.0,1.0,"C,RW",RW,33.4,-6.7,90.5,18.0,14.0,-4.0,8.0,30.495,29.65,14.76,153.68,106.8,49.9,3.7,,,,
Was,,Nicklas Backstrom,2.0,1.0,C,C,32.8,-10.2,90.6,27.0,23.0,-4.0,8.0,19.025,53.105,20.84,152.935,41.1,42.1,2.8,,,,
Dal,,Jason Robertson,1.0,2.0,LW,LW,29.3,-12.1,91.0,29.0,14.0,-15.0,8.0,26.775,41.67,7.225,207.885,45.5,21.0,4.2,,,,
VGK,30.0,Jonathan Marchessault,2.0,1.0,"C,LW",C,36.5,-6.5,91.5,17.0,24.0,7.0,8.0,26.645,34.835,11.09,292.465,86.9,20.5,4.7,,,,
Mon,,Nick Suzuki,1.0,1.0,"C,RW",RW,33.7,-6.4,91.7,17.0,15.0,-2.0,8.0,21.715,38.275,16.525,178.16,103.3,51.7,2.6,,,,
LA,34.0,Anze Kopitar,1.0,1.0,C,C,37.1,-5.9,92.3,16.0,25.0,9.0,8.0,23.09,49.02,21.88,160.27,58.3,57.6,4.1,,,,
StL,30.0,Torey Krug,1.0,1.0,D,D,31.9,-0.2,95.0,24.0,19.0,-5.0,8.0,7.855,45.8,19.67,177.24,66.9,75.1,1.9,,,,
Wpg,35.0,Blake Wheeler,1.0,1.0,"C,RW",C,37.6,-5.4,96.2,14.0,26.0,12.0,9.0,23.785,48.72,20.035,187.0,90.2,47.0,2.9,,,,
