Goals,TRUE,,,,,,,,,2021-22 Fantasy Hockey Customizable Rankings,,,,,,,,,,,,,,,,,,,,,,
Assists,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Points,FALSE,,,,,,,,,Starting Goalies,,,https://www.dailyfaceoff.com/starting-goalies/,,,,,,,,,,,,,,,,,,,
Plus/Minus,TRUE,,,,,,,,,Projected Lines,,,https://www.dailyfaceoff.com/teams/,,,,,,,,,,,,,,,,,,,
PIM,FALSE,,,,,,,,,Player News,,,https://www.dailyfaceoff.com/hockey-player-news/,,,,,,,,,,,,,,,,,,,
PPG,FALSE,,,,,,,,,DFO Podcast,,,https://soundcloud.com/dailyfaceoff-podcast,,,,,,,,,,,,,,,,,,,
PPA,FALSE,,,,,,,,,,Twitter,,https://twitter.com/DailyFaceoff,,,,,,,,,,,,,,,,,,,
PPP,TRUE,,,,,,,,,,,Instagram,https://www.instagram.com/dailyfaceoff/,,,,,,,,,,,,,,,,,,,
GWG,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOG,TRUE,,Step 1:,File > Make a Copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATOI,FALSE,,Step 2:,Check off all scoring categories for your league,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK,FALSE,,Step 3:,Check off which site you use for correct Position Eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIT,FALSE,,Step 4:,"Sort by ""SCORE"" for rankings customized to your league settings",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players,TEAM,Pos,Age,GP,G,A,PTS,(+/-),PIM,EV,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,G,A,PTS,(+/-),PIM,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,SCORE
Oilver Ekman-Larsson,VAN,D,30,78.3,9.1,24.8,33.9,-8.5,44.1,6.2,2.9,8.6,11.5,1.3,148.1,21.6,62.4,130.8,0.631,0.105,,-1.335,,,,0.552,,0.350,,,,0.970
Matt Grzelcyk,BOS,D,28,75.8,7.0,25.9,32.9,13.4,45.0,5.3,1.8,10.8,12.6,1.3,147.7,20.3,78.5,64.0,0.036,0.212,,1.598,,,,0.696,,0.340,,,,2.083
Brady Skjei,CAR,D,27,78.7,7.2,15.8,23.0,4.9,51.0,7.2,0.0,0.0,0.0,1.1,147.4,20.8,105.4,122.6,0.093,-0.770,,0.459,,,,-0.958,,0.333,,,,-1.072
Josh Morrissey,WPG,D,26,78.6,6.8,28.8,35.5,1.4,27.9,4.7,2.1,11.7,13.8,1.0,147.3,23.0,108.2,80.3,-0.021,0.494,,-0.009,,,,0.854,,0.331,,,,1.653
Jared Spurgeon,MIN,D,32,78.9,12.5,28.5,40.9,0.6,19.4,8.1,4.4,10.2,14.5,1.6,144.2,23.5,134.6,75.8,1.595,0.465,,-0.116,,,,0.946,,0.258,,,,3.205
Keith Yandle,PHI,D,35,82.0,5.4,33.5,38.9,-2.7,37.4,3.2,2.3,18.8,21.1,1.0,144.0,17.7,56.9,34.1,-0.418,0.951,,-0.558,,,,1.812,,0.253,,,,2.319
Sean Walker,LAK,D,27,75.3,6.7,20.8,27.5,-1.6,28.7,6.2,0.5,4.0,4.5,0.5,142.9,18.9,101.7,83.9,-0.049,-0.284,,-0.411,,,,-0.367,,0.227,,,,-0.679
Jake Muzzin,TOR,D,32,75.7,7.6,27.3,34.8,14.6,41.8,7.0,0.6,1.3,1.9,1.1,141.4,21.5,132.6,146.1,0.206,0.348,,1.758,,,,-0.709,,0.192,,,,0.916
Gustav Forsling,FLA,D,25,72.0,6.3,16.4,22.7,3.8,29.3,5.7,0.6,2.7,3.3,0.8,140.2,19.8,80.2,59.6,-0.162,-0.711,,0.312,,,,-0.525,,0.163,,,,-1.079
Erik Cernak,TBL,D,24,75.0,6.7,15.1,21.8,11.5,56.7,6.5,0.2,0.5,0.7,1.0,139.7,19.6,94.4,182.4,-0.049,-0.838,,1.343,,,,-0.866,,0.151,,,,-0.930
