Players,TEAM,Pos,FanTrax,Yahoo,ESPN,Age,GP,G,A,PTS,(+/-),PIM,EV,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,G,A,PTS,(+/-),PIM,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,SCORE
Joe Pavelski,DAL,C/RW,C/RW,C/RW,RW,37,80.2,26.9,28.8,55.7,11.8,30.0,14.9,12.0,9.0,21.0,4.4,180.6,18.8,57.2,81.7,0.897,0.139,,1.484,,,,1.195,0.853,0.380,,1.803,0.063,6.073
Nicklas Backstrom,WSH,C,C,C,C,34,79.1,19.4,50.7,70.0,1.9,27.2,13.9,5.5,18.7,24.2,2.8,150.5,19.3,42.1,41.1,-0.074,1.967,,0.163,,,,1.574,-0.186,-0.241,,0.595,-0.787,2.929
Brady Tkachuk,OTT,LW,LW,LW,LW,22,79.4,25.9,29.4,55.3,-10.5,93.7,20.7,5.3,8.1,13.3,3.9,297.6,18.7,39.0,316.2,0.768,0.189,,-1.491,,,,0.284,0.528,2.795,,0.347,4.973,9.138
Sam Reinhart,FLA,C/RW,C/RW,C/RW,RW,26,80.9,28.4,32.7,61.1,2.8,18.0,19.6,8.8,10.6,19.4,4.1,182.4,19.7,38.2,33.8,1.091,0.465,,0.283,,,,1.006,0.658,0.418,,0.283,-0.940,3.122
Jack Eichel,BUF,C,C,C,C,25,62.0,22.7,39.5,62.3,-6.4,22.7,16.3,6.5,15.0,21.5,3.3,206.2,20.4,38.7,47.7,0.353,1.032,,-0.944,,,,1.255,0.138,0.909,,0.323,-0.649,2.889
Filip Forsberg,NSH,LW,LW,LW,LW,27,71.4,25.2,31.6,56.7,2.0,29.3,17.8,7.4,9.1,16.5,4.2,221.6,18.0,30.1,90.8,0.677,0.373,,0.177,,,,0.663,0.723,1.227,,-0.365,0.253,3.639
Claude Giroux,PHI,C/LW,C/LW,C/LW,LW,34,80.9,21.5,41.8,63.3,2.1,23.4,17.7,3.8,14.8,18.6,3.6,190.5,18.2,14.3,41.7,0.198,1.224,,0.190,,,,0.911,0.333,0.585,,-1.629,-0.775,0.943
Teuvo Teravainen,CAR,LW/RW,LW/RW,LW/RW,RW,27,77.0,18.3,44.7,62.9,12.1,13.6,14.1,4.2,13.1,17.3,2.6,173.9,17.7,28.5,29.0,-0.216,1.466,,1.524,,,,0.758,-0.316,0.242,,-0.493,-1.041,1.161
Tomas Hertl,SJS,C/LW,C,C/LW,C,28,76.4,30.4,36.7,67.1,-2.7,28.9,23.6,6.8,7.3,14.0,3.8,180.9,19.6,55.6,56.6,1.350,0.798,,-0.450,,,,0.367,0.463,0.387,,1.675,-0.463,4.352
Mike Hoffman,MTL,LW/RW,LW,LW/RW,LW,32,80.7,26.3,28.4,54.7,-7.2,26.2,16.0,10.3,11.8,22.1,4.1,199.6,15.5,23.1,40.7,0.819,0.106,,-1.051,,,,1.326,0.658,0.773,,-0.925,-0.796,1.436
William Karlsson,VGK,C,C,C,C,29,80.4,24.0,35.3,59.3,14.8,13.8,19.5,4.6,8.5,13.1,4.3,166.3,18.8,44.5,46.7,0.522,0.682,,1.885,,,,0.260,0.788,0.085,,0.787,-0.670,3.396
Bo Horvat,VAN,C,C,C,C,26,82.0,26.0,32.9,58.8,-6.5,30.8,16.3,9.7,7.3,16.9,3.1,203.7,19.9,62.6,75.9,0.781,0.481,,-0.957,,,,0.710,0.009,0.857,,2.235,-0.059,4.535
Jason Robertson,DAL,LW,LW,LW,LW,22,76.4,24.6,36.1,60.7,10.7,23.5,22.9,1.7,6.8,8.5,4.2,191.0,17.0,21.0,45.5,0.599,0.748,,1.338,,,,-0.284,0.723,0.595,,-1.093,-0.695,1.262
Brendan Gallagher,MTL,RW,RW,RW,RW,29,73.9,27.6,20.7,48.3,4.8,37.1,23.4,4.3,3.8,8.0,3.6,251.5,16.4,30.9,87.9,0.988,-0.537,,0.550,,,,-0.343,0.333,1.844,,-0.301,0.193,2.452
Vladimir Tarasenko,STL,RW,RW,RW,RW,30,70.0,22.6,29.6,52.2,2.7,13.4,15.9,6.7,7.7,14.4,3.0,216.6,17.5,37.1,81.3,0.340,0.206,,0.270,,,,0.414,-0.056,1.124,,0.195,0.054,2.412
Dominik Kubalik,CHI,LW/RW,LW/RW,LW/RW,LW,26,80.1,29.3,24.5,53.8,-0.4,24.3,24.1,5.2,8.8,14.0,4.4,207.2,15.5,24.5,89.7,1.208,-0.220,,-0.143,,,,0.367,0.853,0.930,,-0.813,0.230,2.483
Vincent Trocheck,CAR,C,C,C,C,28,73.9,20.1,35.3,55.3,-2.7,43.3,13.2,6.9,13.1,20.0,2.9,193.8,18.3,44.0,134.5,0.017,0.682,,-0.450,,,,1.077,-0.121,0.653,,0.747,1.168,3.997
