team,name,position,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
Anh,Jamie Drysdale,D,9.16,20.09,6.64,95.96,43.7,86.5,0.5,,,,
NJ,Jonathan Bernier,G,,,,,,,,11.585,0.907,662.85,1.28
Was,Dmitry Orlov,D,8.0,28.4,3.3,130.95,,,,,,,
Phi,James van Riemsdyk,LW,22.5,26.16,9.985,185.37,38.9,19.6,2.4,,,,
Car,Jaccob Slavin,D,6.915,27.18,2.54,172.83,61.6,129.2,1.3,,,,
Sea,Jordan Eberle,RW,23.68,29.72,10.72,183.84,44.0,33.7,4.2,,,,
Sea,Jamie Oleksiak,D,7.0,12.6,0.0,115.1,208.8,109.7,1.3,,,,
Pit,Kasperi Kapanen,"LW,RW",18.565,30.775,4.32,144.375,83.0,18.5,3.2,,,,
Mon,Christian Dvorak,"C,LW",22.505,23.14,9.135,140.92,65.6,51.5,3.1,,,,
Mon,Josh Anderson,RW,20.2,12.3,3.2,179.6,168.2,32.9,4.2,,,,
Col,Nazem Kadri,C,23.555,28.2,11.845,249.09,66.4,19.2,2.7,,,,
NJ,Nico Hischier,C,20.95,29.27,10.75,162.485,56.7,49.3,2.6,,,,
Ott,Connor Brown,"LW,RW",23.61,26.145,4.28,170.63,36.2,37.9,2.1,,,,
Mon,Joel Edmundson,D,5.7,15.1,0.0,122.9,145.4,117.0,0.7,,,,
NYI,Kyle Palmieri,"LW,RW",25.47,20.75,12.895,172.12,88.2,31.4,3.6,,,,
Sea,Joonas Donskoi,"LW,RW",20.8,23.0,9.2,141.3,33.2,39.9,3.7,,,,
Ari,Phil Kessel,RW,22.68,32.44,15.94,163.825,16.7,18.5,3.2,,,,
Tor,Nick Ritchie,LW,18.71,19.925,7.095,155.135,166.3,29.5,2.9,,,,
Fla,Carter Verhaeghe,"C,LW",25.535,22.26,2.96,165.915,60.5,23.2,4.0,,,,
Ott,Matt Murray,G,,,,,,,,27.7,0.904,1763.75,3.245
Cgy,Mikael Backlund,"C,RW",17.445,31.56,7.195,198.685,54.2,25.8,2.9,,,,
NYI,Anthony Beauvillier,LW,23.635,22.465,6.91,173.58,85.6,33.0,4.2,,,,
Edm,Jesse Puljujarvi,RW,25.1,23.4,9.7,233.0,203.9,40.4,1.0,,,,
Sea,Adam Larsson,D,3.8,11.1,0.0,91.8,209.3,144.1,0.7,,,,
NYR,Jacob Trouba,D,6.515,22.61,5.19,161.68,186.7,147.2,1.2,,,,
Chi,Kirby Dach,C,14.8,32.9,5.7,159.8,46.5,40.7,2.9,,,,
NYI,Oliver Wahlstrom,RW,20.0,17.3,15.8,173.2,110.0,29.5,2.8,,,,
Van,Vasily Podkolzin,RW,12.9,19.2,6.1,103.5,73.9,31.5,1.4,,,,
Col,Pavel Francouz,G,,,,,,,,12.485,0.91,526.595,1.21
Sea,Jared McCann,"C,LW",19.99,26.58,9.35,184.53,88.3,39.2,4.1,,,,
TB,Brian Elliott,G,,,,,,,,8.27,0.905,401.775,0.805
Car,Jesperi Kotkaniemi,"C,LW",15.595,18.375,4.81,137.095,112.3,41.3,2.0,,,,
Cls,Jack Roslovic,"C,RW",18.6,29.4,9.1,146.7,64.9,34.0,2.3,,,,
StL,Colton Parayko,D,9.32,21.41,3.28,184.28,104.0,138.8,1.1,,,,
Mon,Mike Hoffman,"LW,RW",27.97,28.4,17.67,201.185,40.7,23.1,4.1,,,,
Fla,Brandon Montour,D,9.965,20.85,2.08,151.535,81.9,89.9,0.9,,,,
Edm,Duncan Keith,D,4.79,24.295,6.585,129.275,39.6,115.2,0.9,,,,
NYR,Kaapo Kakko,RW,16.5,18.0,11.0,151.3,32.1,24.1,2.8,,,,
Anh,Max Comtois,"LW,RW",21.5,24.5,7.5,133.1,149.1,44.4,3.0,,,,
Buf,Victor Olofsson,"LW,RW",22.9,28.855,17.45,171.74,22.7,19.6,2.8,,,,
StL,Brandon Saad,"LW,RW",22.7,17.5,3.1,166.6,40.9,24.0,4.5,,,,
TB,Alex Killorn,"LW,RW",24.73,27.245,9.755,161.57,82.0,21.4,3.1,,,,
Wpg,Pierre-Luc Dubois,C,21.755,33.22,9.52,158.43,98.4,48.7,3.7,,,,
Mon,Jake Allen,G,,,,,,,,10.895,0.909,571.33,1.21
SJ,Adin Hill,G,,,,,,,,26.29,0.907,1614.385,3.715
Fla,Patric Hornqvist,RW,26.69,28.135,13.865,268.22,131.8,43.5,2.5,,,,
StL,Justin Faulk,D,7.955,18.14,3.8,167.82,137.7,108.0,1.5,,,,
Pit,Casey DeSmith,G,,,,,,,,11.49,0.909,567.845,1.605
Phi,Joel Farabee,"LW,RW",22.585,24.155,6.105,160.545,67.5,32.0,2.3,,,,
Det,Filip Hronek,D,7.92,31.56,10.68,144.47,110.2,77.2,0.5,,,,
TB,Ryan McDonagh,D,5.8,20.5,1.1,108.6,83.8,137.7,0.7,,,,
Nsh,Eeli Tolvanen,"LW,RW",20.8,22.3,22.1,123.6,138.3,31.7,5.3,,,,
SJ,Timo Meier,"LW,RW",24.005,31.145,10.265,230.245,129.1,39.5,2.3,,,,
Ari,Clayton Keller,"LW,RW",21.08,33.11,12.85,188.08,28.6,21.0,3.5,,,,
Det,Moritz Seider,D,5.5,20.6,5.0,110.0,126.6,91.5,0.5,,,,
Min,Mats Zuccarello,RW,17.005,33.815,8.975,122.08,23.8,36.9,2.0,,,,
NYI,Brock Nelson,C,29.11,28.32,8.84,184.79,54.1,45.4,4.9,,,,
Min,Alex Goligoski,D,4.55,30.665,8.5,102.2,95.2,143.9,0.5,,,,
LA,Calvin Petersen,G,,,,,,,,30.17,0.904,2038.95,4.3
Phi,Travis Konecny,RW,22.78,36.42,13.525,172.545,83.5,36.8,3.4,,,,
Det,Jakub Vrana,LW,31.8,32.6,11.4,207.2,51.0,24.1,6.0,,,,
Sea,Chris Driedger,G,,,,,,,,11.285,0.914,595.3,2.04
Car,Nino Niederreiter,"LW,RW",21.8,22.5,9.8,169.9,86.0,23.3,3.3,,,,
Col,Bowen Byram,D,5.6,17.2,3.1,90.8,128.8,62.6,0.0,,,,
VGK,Chandler Stephenson,"C,LW",17.335,26.815,5.35,121.26,65.9,47.8,5.0,,,,
LA,Phillip Danault,C,10.6,31.9,2.0,117.6,104.1,42.1,0.9,,,,
NJ,Yegor Sharangovich,"LW,RW",24.255,21.395,2.515,162.96,32.2,29.7,3.7,,,,
NYI,Noah Dobson,D,6.2,22.2,9.1,134.3,69.9,96.7,0.5,,,,
Ari,Shayne Gostisbehere,D,12.0,19.6,9.52,154.365,43.4,90.6,1.8,,,,
SJ,Logan Couture,C,26.0,29.25,10.925,178.84,65.1,54.3,3.2,,,,
Cgy,Blake Coleman,"LW,RW",21.78,19.045,2.94,208.43,185.5,39.6,3.6,,,,
VGK,Evgenii Dadonov,"LW,RW",24.3,21.005,8.3,155.575,37.2,29.9,3.2,,,,
Cls,Elvis Merzlikins,G,,,,,,,,23.54,0.911,1643.46,4.24
Cls,Adam Boqvist,D,6.1,24.4,7.7,100.3,75.4,84.6,1.0,,,,
TB,Erik Cernak,D,6.7,15.1,0.7,139.7,182.4,94.4,1.0,,,,
Anh,John Gibson,G,,,,,,,,23.265,0.907,1797.225,3.525
Fla,Frank Vatrano,"LW,RW",23.0,16.66,3.765,217.925,112.0,46.2,3.8,,,,
Dal,Esa Lindell,D,6.08,20.605,3.79,130.785,123.5,145.2,0.9,,,,
Cgy,Nikita Zadorov,D,4.4,10.0,0.0,85.1,226.9,87.2,0.5,,,,
Cls,Oliver Bjorkstrand,"LW,RW",29.675,29.26,8.37,220.865,63.4,36.6,4.4,,,,
Edm,Evan Bouchard,D,9.115,17.59,4.015,182.975,75.7,84.7,0.5,,,,
Fla,Anthony Duclair,"LW,RW",25.56,29.375,5.93,203.665,55.5,31.5,2.8,,,,
NYI,Josh Bailey,"LW,RW",15.455,38.76,10.825,115.385,22.7,37.4,2.9,,,,
Van,Conor Garland,"LW,RW",23.655,30.455,9.75,197.41,40.2,29.0,3.7,,,,
Bos,Mike Reilly,D,1.415,31.13,6.82,146.72,82.9,67.4,0.5,,,,
Car,Jordan Staal,C,17.18,25.395,8.58,161.005,164.8,32.1,2.6,,,,
Wpg,Josh Morrissey,D,6.715,29.04,10.845,146.05,80.3,108.2,1.0,,,,
Ott,Drake Batherson,RW,23.13,27.74,14.53,136.25,,,,,,,
Pit,Jeff Carter,"C,RW",27.105,19.64,7.375,228.76,70.2,33.7,3.3,,,,
Min,Joel Eriksson Ek,C,18.95,21.805,2.33,155.96,135.0,51.9,3.5,,,,
SJ,Kevin Labanc,"LW,RW",18.42,26.1,8.49,186.655,76.2,24.0,3.4,,,,
LA,Viktor Arvidsson,"LW,RW",24.2,21.6,7.0,216.6,29.5,40.7,3.9,,,,
Anh,Trevor Zegras,"C,LW",17.4,35.3,4.3,180.5,32.9,18.3,1.9,,,,
Ott,Tim Stuetzle,LW,19.59,27.98,10.38,161.35,,,,,,,
