name,line,ppu
Vince Dunn,1,2.0
Adam Larsson,1,
Mark Giordano,2,1.0
Jamie Oleksiak,2,
Carson Soucy,3,
Haydn Fleury,3,
David Perron,1,1.0
Ryan O'Reilly,1,1.0
Jordan Kyrou,1,1.0
Brandon Saad,2,
Robert Thomas,2,2.0
Vladimir Tarasenko,2,1.0
Klim Kostin,3,
Brayden Schenn,3,2.0
Pavel Buchnevich,3,2.0
Logan Brown,4,
Tyler Bozak,4,
Ivan Barbashev,4,
Torey Krug,1,1.0
Justin Faulk,1,2.0
Marco Scandella,2,
Colton Parayko,2,2.0
Niko Mikkola,3,
Robert Bortuzzo,3,
Ondrej Palat,1,2.0
Brayden Point,1,1.0
Nikita Kucherov,1,1.0
Alex Killorn,2,1.0
Anthony Cirelli,2,2.0
Steven Stamkos,2,1.0
Mathieu Joseph,3,
Ross Colton,3,
Corey Perry,3,2.0
Patrick Maroon,4,
Pierre-Édouard Bellemare,4,
Taylor Raddysh,4,
Victor Hedman,1,1.0
Jan Rutta,1,
Ryan McDonagh,2,
Erik Cernak,2,
Mikhail Sergachev,3,2.0
Cal Foote,3,
Nick Ritchie,1,1.0
Auston Matthews,1,1.0
Mitch Marner,1,1.0
Michael Bunting,2,
John Tavares,2,1.0
William Nylander,2,2.0
Ilya Mikheyev,3,
Alexander Kerfoot,3,2.0
Ondrej Kase,3,
Wayne Simmonds,4,2.0
David Kampf,4,
Jason Spezza,4,2.0
Morgan Rielly,1,1.0
T.J. Brodie,1,
Jake Muzzin,2,
Justin Holl,2,
Rasmus Sandin,3,2.0
Travis Dermott,3,
Nils Hoglander,1,2.0
Elias Pettersson,1,1.0
Brock Boeser,1,1.0
Conor Garland,2,1.0
J.T. Miller,2,2.0
Vasily Podkolzin,2,2.0
Tanner Pearson,3,2.0
Bo Horvat,3,1.0
Zack MacEwen,3,
Tyler Motte,4,
Brandon Sutter,4,
Jason Dickinson,4,
Quinn Hughes,1,1.0
Travis Hamonic,1,
Oliver Ekman-Larsson,2,2.0
Tucker Poolman,2,
Olli Juolevi,3,
Tyler Myers,3,
Max Pacioretty,1,1.0
Chandler Stephenson,1,
Mark Stone,1,1.0
Jonathan Marchessault,2,1.0
William Karlsson,2,1.0
Reilly Smith,2,2.0
Mattias Janmark,3,
Nolan Patrick,3,2.0
Evgenii Dadonov,3,2.0
Will Carrier,4,
Nicolas Roy,4,
Keegan Kolesar,4,
Alec Martinez,1,2.0
Alex Pietrangelo,1,1.0
Brayden McNabb,2,
Shea Theodore,2,2.0
Nicolas Hague,3,
Zach Whitecloud,3,
Alex Ovechkin,1,1.0
Evgeny Kuznetsov,1,1.0
Tom Wilson,1,2.0
Anthony Mantha,2,2.0
Nicklas Backstrom,2,1.0
T.J. Oshie,2,1.0
Conor Sheary,3,
Lars Eller,3,2.0
Daniel Sprong,3,
Carl Hagelin,4,
Nic Dowd,4,
Garnet Hathaway,4,
Dmitri Orlov,1,2.0
John Carlson,1,1.0
Michal Kempny,2,
Justin Schultz,2,2.0
Trevor van Riemsdyk,3,
Nick Jensen,3,
Kyle Connor,1,1.0
Mark Scheifele,1,1.0
Blake Wheeler,1,1.0
Andrew Copp,2,2.0
Pierre-Luc Dubois,2,2.0
Nikolaj Ehlers,2,1.0
Paul Stastny,3,2.0
Adam Lowry,3,2.0
Kristian Vesalainen,3,
Dominic Toninato,4,
Riley Nash,4,
Jansen Harkins,4,
Josh Morrissey,1,1.0
Nate Schmidt,1,
Brenden Dillon,2,
Neal Pionk,2,2.0
Logan Stanley,3,
Dylan DeMelo,3,
