name,team,position,age,goals,assists,points,plus_minus,powerplay_points,game_winning_goals,shots_on_goal,blocks,hits,wins,shutouts,save_percentage,saves
Nick Schmaltz,ARI,C/RW,25.0,15.4,36.9,52.3,-4.1,14.6,2.4,141.4,38.4,20.7,,,,
Pierre-Luc Dubois,WPG,C,23.0,20.3,28.5,48.8,1.6,9.6,3.7,153.9,48.7,98.4,,,,
Joel Farabee,PHI,LW/RW,21.0,22.3,25.4,47.7,2.4,7.5,2.3,163.0,32.0,67.5,,,,
Blake Coleman,CGY,LW/RW,29.0,23.2,18.3,41.5,-0.3,4.9,3.6,205.0,39.6,185.5,,,,
Denis Gurianov,DAL,LW/RW,24.0,20.0,18.7,38.6,2.7,11.5,3.7,175.2,21.7,89.1,,,,
Alexis Lafreniere,NYR,LW,20.0,23.4,29.9,53.3,-5.2,9.9,5.7,143.0,20.1,70.7,,,,
Anthony Cirelli,TBL,C/RW,24.0,18.9,27.0,45.8,16.9,6.0,3.7,133.2,51.9,102.0,,,,
Eeli Tolvanen,NSH,LW/RW,22.0,20.8,22.3,43.0,-6.7,22.1,5.3,123.6,31.7,138.3,,,,
Jeff Skinner,BUF,LW,29.0,22.5,16.2,38.6,-9.2,8.4,3.1,219.3,19.2,34.7,,,,
Joonas Donskoi,SEA,LW/RW,29.0,20.8,23.0,43.8,7.3,9.2,3.7,141.3,39.9,33.2,,,,
Andrew Mangiapane,CGY,LW/RW,25.0,24.5,22.0,46.5,2.9,8.0,4.1,143.2,40.4,81.6,,,,
Josh Bailey,NYI,LW/RW,32.0,14.9,37.3,52.2,3.0,12.2,2.9,117.0,37.4,22.7,,,,
Kevin Hayes,PHI,C,29.0,20.4,23.0,43.4,-3.1,9.9,3.6,168.1,20.4,80.4,,,,
Kevin Labanc,SJS,LW/RW,26.0,18.0,28.5,46.5,-11.8,11.2,3.4,181.5,24.0,76.2,,,,
Jordan Kyrou,STL,C/RW,23.0,19.1,29.8,48.8,1.6,6.9,2.6,148.3,23.6,21.8,,,,
Frank Vatrano,FLA,LW/RW,27.0,21.7,15.4,37.1,-0.9,5.2,3.8,203.5,46.2,112.0,,,,
Anthony Beauvillier,NYI,LW,24.0,21.6,19.6,41.2,2.5,6.7,4.2,166.7,33.0,85.6,,,,
Joel Eriksson Ek,MIN,C,25.0,18.3,22.3,40.5,10.7,3.4,3.5,166.2,51.9,135.0,,,,
Evander Kane,SJS,LW/RW,30.0,20.2,19.5,39.7,-3.4,9.8,2.4,173.9,18.7,98.2,,,,
Jake DeBrusk,BOS,LW/RW,25.0,18.6,19.1,37.6,4.4,8.2,3.9,169.1,28.4,57.9,,,,
Jordan Staal,CAR,C,33.0,16.6,25.3,41.9,2.0,11.2,2.6,147.1,32.1,164.8,,,,
Mats Zuccarello,MIN,RW,34.0,15.8,33.2,48.9,1.0,11.0,2.0,124.3,36.9,23.8,,,,
Alex Iafallo,LAK,LW,28.0,18.4,25.2,43.6,-7.3,10.8,3.0,165.2,53.7,56.8,,,,
Kasperi Kapanen,PIT,LW/RW,25.0,18.0,27.5,45.4,6.9,5.1,3.2,144.9,18.5,83.0,,,,
Jack Roslovic,CBJ,C/RW,25.0,18.6,29.4,48.0,-4.8,9.1,2.3,146.7,34.0,64.9,,,,
Jesper Bratt,NJD,LW/RW,23.0,15.8,30.7,46.5,-3.8,10.7,2.4,145.4,29.9,49.0,,,,
Max Domi,CBJ,C/LW,26.0,16.7,28.8,45.4,-3.6,7.8,2.4,162.6,21.1,37.3,,,,
Tom Wilson,WSH,RW,27.0,20.4,24.6,44.9,3.2,6.5,3.2,139.5,49.2,206.8,,,,
Tyler Bertuzzi,DET,LW/RW,26.0,20.4,25.3,45.8,-4.6,11.3,2.8,131.4,34.5,73.4,,,,
Pius Suter,DET,C/RW,25.0,22.1,20.9,42.9,-5.7,5.0,4.1,177.3,48.4,43.0,,,,
Jeff Carter,PIT,C/RW,37.0,19.0,16.7,35.6,-8.1,8.3,3.3,201.2,33.7,70.2,,,,
Filip Zadina,DET,LW/RW,22.0,16.7,21.3,38.0,-11.3,13.6,2.3,176.2,33.2,39.2,,,,
Adrian Kempe,LAK,LW/RW,25.0,16.3,22.8,39.1,-7.2,12.8,2.3,163.8,25.4,83.3,,,,
Kirby Dach,CHI,C,21.0,14.8,32.9,47.6,-3.2,5.7,2.9,159.8,40.7,46.5,,,,
Calle Jarnkrok,SEA,LW/RW,30.0,17.0,21.7,38.7,8.7,8.4,2.6,136.9,27.6,45.7,,,,
Andrew Copp,WPG,LW/RW,27.0,16.4,24.5,40.9,4.3,8.5,3.4,142.6,44.1,83.6,,,,
Connor Brown,OTT,LW/RW,28.0,21.3,23.5,44.8,-5.1,4.5,2.1,165.9,37.9,36.2,,,,
Ryan Johansen,NSH,C,29.0,13.6,31.6,45.2,1.5,11.7,2.5,116.6,29.3,66.8,,,,
Max Comtois,ANA,LW/RW,23.0,21.5,24.5,45.9,-3.0,7.5,3.0,133.1,44.4,149.1,,,,
Pavel Zacha,NJD,C/LW,24.0,17.8,25.1,42.9,-7.5,12.8,3.0,136.8,21.4,71.8,,,,
Jonathan Drouin,MTL,C/LW,26.0,12.4,30.8,43.2,-8.4,12.7,2.4,151.0,18.7,65.1,,,,
Casey Mittelstadt,BUF,C/RW,23.0,18.8,25.6,44.4,-12.6,12.8,3.3,143.5,24.9,25.0,,,,
Matt Duchene,NSH,C/RW,31.0,15.8,26.9,42.7,-7.1,9.4,1.9,157.6,25.4,56.0,,,,
Gustav Nyquist,CBJ,LW/RW,31.0,15.9,24.9,40.7,-1.5,7.4,2.7,156.9,25.0,42.1,,,,
Evgenii Dadonov,VGK,LW/RW,32.0,20.1,20.2,40.3,0.9,8.1,3.2,136.6,29.9,37.2,,,,
Paul Stastny,WPG,C/LW,36.0,16.4,24.4,40.8,4.7,8.2,3.5,129.6,26.9,53.6,,,,
Brandon Saad,STL,LW/RW,29.0,22.7,17.5,40.2,-1.9,3.1,4.5,166.6,24.0,40.9,,,,
Yegor Sharangovich,NJD,LW/RW,23.0,22.2,21.3,43.5,-3.5,2.5,3.7,162.9,29.7,32.2,,,,
Christian Dvorak,MTL,C/LW,25.0,19.7,22.0,41.7,-7.4,10.2,3.1,141.2,51.5,65.6,,,,
Kailer Yamamoto,EDM,RW,23.0,17.2,25.5,42.7,14.9,3.5,1.0,108.5,51.6,88.3,,,,
Marco Rossi,MIN,C,20.0,15.4,27.3,42.7,2.2,7.5,2.2,130.3,33.2,43.7,,,,
Nick Ritchie,TOR,LW,25.0,15.8,20.0,35.7,4.2,8.1,2.9,146.7,29.5,166.3,,,,
Quinton Byfield,LAK,C,26.0,17.1,24.9,41.9,1.7,6.4,2.0,133.6,37.0,54.5,,,,
Josh Anderson,MTL,RW,27.0,20.2,12.3,32.5,2.4,3.2,4.2,179.6,32.9,168.2,,,,
Zach Parise,NYI,LW,37.0,17.4,18.3,35.7,0.7,7.7,3.6,151.3,40.4,34.4,,,,
Mikael Granlund,NSH,C/RW,29.0,18.7,20.2,38.9,-2.1,9.7,3.1,131.4,58.3,56.9,,,,
Dylan Strome,CHI,C/RW,24.0,15.9,26.6,42.5,-3.4,10.5,2.6,122.5,37.4,24.3,,,,
Jason Zucker,PIT,LW/RW,30.0,18.7,20.5,39.2,-6.0,8.9,3.5,146.6,27.7,113.4,,,,
Nils Hoglander,VAN,LW/RW,21.0,18.8,22.2,41.0,-2.9,2.2,2.2,166.2,28.9,43.6,,,,
Tanner Pearson,VAN,LW,29.0,19.7,17.3,36.9,-7.3,7.5,2.7,164.1,42.1,92.6,,,,
Adam Henrique,ANA,C/LW,31.0,21.5,18.8,40.3,-5.7,7.7,2.7,140.2,49.5,74.9,,,,
Jakob Silfverberg,ANA,RW,31.0,19.1,18.3,37.3,-6.1,7.1,2.0,160.5,44.5,36.7,,,,
Tyler Johnson,CHI,C/RW,31.0,18.0,19.1,37.1,5.0,6.1,2.9,132.8,26.6,76.9,,,,
Dmirtij Jaskin,ARI,LW/RW,26.0,19.2,20.4,39.7,-10.3,3.8,1.5,174.8,39.1,213.1,,,,
Kaapo Kakko,NYR,RW,20.0,16.5,18.0,34.4,-8.3,11.0,2.8,151.3,24.1,32.1,,,,
Jean-Gabriel Pageau,NYI,C,29.0,18.7,16.9,35.6,-1.1,8.0,3.1,134.8,65.1,132.2,,,,
Lars Eller,WSH,C,32.0,15.6,23.4,38.9,-0.3,4.4,1.9,145.2,42.8,64.5,,,,
Matthew Boldy,MIN,LW,21.0,13.6,25.0,38.6,1.2,6.8,1.8,132.1,25.1,68.0,,,,
Dylan Cozens,BUF,C/RW,20.0,16.3,25.6,41.9,-16.2,6.8,1.0,166.9,24.0,65.3,,,,
Robby Fabbri,DET,C/LW,26.0,19.8,20.8,40.6,-11.8,8.3,5.0,136.6,27.4,81.2,,,,
Phillip Danault,LAK,C,28.0,10.6,31.9,42.4,8.8,2.0,0.9,117.6,42.1,104.1,,,,
Ross Colton,TBL,C/LW,25.0,18.3,15.0,33.3,7.9,0.5,5.3,146.0,23.4,116.6,,,,
Dillon Dube,CGY,LW/RW,23.0,16.3,21.1,37.4,-0.4,4.3,2.1,138.9,23.2,94.2,,,,
Miles Wood,NJD,LW,26.0,17.8,14.3,32.1,-7.2,3.4,2.4,183.0,32.9,89.1,,,,
Michael Bunting,TOR,LW,26.0,19.6,19.0,38.6,0.5,4.7,2.7,120.0,9.2,94.4,,,,
Ryan Hartman,MIN,C/RW,27.0,12.8,20.9,33.6,2.5,5.5,2.1,140.2,58.8,77.6,,,,
Andreas Athanasiou,LAK,LW/RW,27.0,18.0,19.2,37.2,-13.7,6.1,2.3,160.1,27.3,32.2,,,,
Valeri Nichushkin,COL,LW/RW,26.0,14.0,16.1,30.0,14.3,1.2,2.8,133.7,34.2,95.6,,,,
Barrett Hayton,ARI,C/LW,21.0,15.4,22.1,37.5,-4.7,3.9,2.5,146.0,22.1,92.5,,,,
Ryan Dzingel,ARI,LW/RW,27.0,16.4,19.6,36.0,-4.3,9.0,2.3,119.0,28.5,52.3,,,,
Ilya Mikheyev,TOR,LW/RW,27.0,11.9,19.2,31.1,7.8,0.0,2.3,161.2,34.5,64.4,,,,
Tage Thompson,BUF,LW/RW,24.0,16.8,13.9,30.7,-14.5,5.5,1.0,192.0,16.7,68.9,,,,
Alex Newhook,COL,C,21.0,9.8,23.8,33.6,18.7,3.0,0.5,102.3,30.3,54.6,,,,
Charlie Coyle,BOS,C/RW,29.0,13.6,19.5,33.1,3.1,3.7,2.6,140.3,37.7,87.2,,,,
Owen Tippett,FLA,RW,22.0,12.6,19.3,31.9,-4.2,4.7,2.8,164.6,16.0,110.9,,,,
Jordan Greenway,MIN,LW/RW,24.0,11.1,29.7,40.8,3.4,2.4,1.4,120.5,46.6,118.6,,,,
Robert Thomas,STL,C/RW,22.0,11.4,30.8,42.2,3.1,6.4,1.8,91.0,23.7,21.1,,,,
Alex Barre-Boulet,TBL,C/RW,24.0,14.0,16.3,30.2,2.0,8.8,1.8,122.9,27.8,51.7,,,,
Jesperi Kotkaniemi,CAR,C/LW,21.0,14.9,20.1,35.0,-3.6,5.8,2.0,135.1,41.3,112.3,,,,
Alexandre Texier,CBJ,C/LW,22.0,14.3,22.1,36.4,-7.1,1.2,1.9,166.8,26.0,66.3,,,,
